,price
2020-01-02,3.22
2020-01-03,3.21
2020-01-06,3.15
2020-01-07,3.18
2020-01-08,3.07
2020-01-09,3.08
2020-01-10,3.05
2020-01-13,3.02
2020-01-14,3.05
2020-01-15,3.14
2020-01-16,3.13
2020-01-17,3.13
2020-01-20,3.23
2020-01-21,3.4
2020-01-22,3.4
2020-01-30,3.63
2020-01-31,3.83
2020-02-03,3.68
2020-02-04,3.53
2020-02-05,3.53
2020-02-06,3.77
2020-02-07,4.03
2020-02-10,4.03
2020-02-11,4.1
2020-02-12,4.04
2020-02-13,4.32
2020-02-14,4.43
2020-02-17,4.5
2020-02-18,4.7
2020-02-19,4.75
2020-02-20,4.5
2020-02-21,4.52
2020-02-24,4.21
2020-02-25,4.15
2020-02-26,4.01
2020-02-27,4.29
2020-02-28,4.48
2020-03-02,4.79
2020-03-03,5.12
2020-03-04,5.14
2020-03-05,5.13
2020-03-06,5.01
2020-03-09,4.66
2020-03-10,4.48
2020-03-11,4.17
2020-03-12,3.88
2020-03-13,3.71
2020-03-16,3.73
2020-03-17,3.91
2020-03-18,4.04
2020-03-19,3.76
2020-03-20,3.58
2020-03-23,3.33
2020-03-24,3.56
2020-03-25,3.64
2020-03-26,3.39
2020-03-27,3.25
2020-03-30,3.04
2020-03-31,3.01
2020-04-01,3.14
2020-04-03,3.25
2020-04-06,3.47
2020-04-07,3.4
2020-04-08,3.44
2020-04-09,3.4
2020-04-10,3.36
2020-04-13,3.39
2020-04-14,3.37
2020-04-15,3.6
2020-04-16,3.68
2020-04-17,3.89
2020-04-20,3.8
2020-04-21,3.54
2020-04-22,3.62
2020-04-23,3.63
2020-04-24,3.62
2020-04-27,3.87
2020-04-28,4.14
2020-04-29,4.17
2020-05-04,3.95
2020-05-05,4.1
2020-05-06,4.29
2020-05-07,4.22
2020-05-08,4.22
2020-05-11,4.22
2020-05-12,4.24
2020-05-13,4.3
2020-05-14,4.35
2020-05-15,4.17
2020-05-18,4.11
2020-05-19,4.11
2020-05-20,4.13
2020-05-21,4.2
2020-05-22,4.12
2020-05-25,4.15
2020-05-26,4.11
2020-05-27,3.87
2020-05-28,3.95
2020-05-29,4.08
2020-06-01,4.12
2020-06-02,3.97
2020-06-03,4.24
2020-06-04,4.35
2020-06-05,4.6
2020-06-08,4.92
2020-06-09,5.01
2020-06-10,5.36
2020-06-11,4.99
2020-06-12,5.3
2020-06-15,4.99
2020-06-16,5.06
2020-06-17,4.36
2020-06-18,4.5
2020-06-19,4.54
2020-06-22,4.49
2020-06-23,4.45
2020-06-24,4.32
2020-06-25,4.32
2020-06-26,4.26
2020-06-29,4.0
2020-06-30,3.89
2020-07-01,4.16
2020-07-02,4.16
2020-07-03,4.19
2020-07-06,4.17
2020-07-07,4.06
2020-07-08,4.13
2020-07-09,4.24
2020-07-10,4.19
2020-07-13,4.16
2020-07-14,4.2
2020-07-15,4.19
2020-07-16,4.2
2020-07-17,4.18
2020-07-20,4.31
2020-07-21,4.41
2020-07-22,4.29
2020-07-23,4.23
2020-07-24,3.94
2020-07-27,3.67
2020-07-28,3.77
2020-07-29,3.53
2020-07-30,3.62
2020-07-31,3.87
2020-08-03,4.14
2020-08-04,4.13
2020-08-05,4.18
2020-08-06,4.33
2020-08-07,4.33
2020-08-10,4.36
2020-08-11,4.3
2020-08-12,4.22
