,price
2020-01-02,2.41
2020-01-03,2.4
2020-01-06,2.4
2020-01-07,2.43
2020-01-08,2.31
2020-01-09,2.35
2020-01-10,2.3
2020-01-13,2.29
2020-01-14,2.31
2020-01-15,2.31
2020-01-16,2.33
2020-01-17,2.31
2020-01-20,2.34
2020-01-21,2.36
2020-01-22,2.37
2020-01-30,2.37
2020-01-31,2.37
2020-02-03,2.34
2020-02-04,2.3
2020-02-05,2.3
2020-02-06,2.38
2020-02-07,2.42
2020-02-10,2.49
2020-02-11,2.6
2020-02-12,2.55
2020-02-13,2.53
2020-02-14,2.5
2020-02-17,2.52
2020-02-18,2.48
2020-02-19,2.5
2020-02-20,2.45
2020-02-21,2.45
2020-02-24,2.4
2020-02-25,2.41
2020-02-26,2.45
2020-02-27,2.45
2020-02-28,2.45
2020-03-02,2.41
2020-03-03,2.57
2020-03-04,2.74
2020-03-05,2.93
2020-03-06,2.92
2020-03-09,2.72
2020-03-10,2.68
2020-03-11,2.86
2020-03-12,3.06
2020-03-13,3.22
2020-03-16,3.0
2020-03-17,2.79
2020-03-18,2.98
2020-03-19,2.78
2020-03-20,2.62
2020-03-23,2.44
2020-03-24,2.34
2020-03-25,2.39
2020-03-26,2.23
2020-03-27,2.09
2020-03-30,1.98
2020-03-31,1.85
2020-04-01,1.97
2020-04-03,2.1
2020-04-06,2.21
2020-04-07,2.09
2020-04-08,2.18
2020-04-09,2.27
2020-04-10,2.34
2020-04-13,2.3
2020-04-14,2.34
2020-04-15,2.34
2020-04-16,2.34
2020-04-17,2.38
2020-04-20,2.4
2020-04-21,2.37
2020-04-22,2.34
2020-04-23,2.37
2020-04-24,2.53
2020-04-27,2.6
2020-04-28,2.6
2020-04-29,2.56
2020-05-04,2.39
2020-05-05,2.51
2020-05-06,2.51
2020-05-07,2.45
2020-05-08,2.48
2020-05-11,2.42
2020-05-12,2.46
2020-05-13,2.45
2020-05-14,2.51
2020-05-15,2.5
2020-05-18,2.5
2020-05-19,2.5
2020-05-20,2.45
2020-05-21,2.49
2020-05-22,2.47
2020-05-25,2.42
2020-05-26,2.46
2020-05-27,2.43
2020-05-28,2.45
2020-05-29,2.62
2020-06-01,2.8
2020-06-02,2.7
2020-06-03,2.62
2020-06-04,2.62
2020-06-05,2.62
2020-06-08,2.8
2020-06-09,2.85
2020-06-10,3.02
2020-06-11,2.89
2020-06-12,2.89
2020-06-15,2.9
2020-06-16,3.1
2020-06-17,3.02
2020-06-18,3.02
2020-06-19,3.06
2020-06-22,3.02
2020-06-23,2.94
2020-06-24,2.89
2020-06-25,2.88
2020-06-26,2.73
2020-06-29,2.61
2020-06-30,2.56
2020-07-01,2.65
2020-07-02,2.67
2020-07-03,2.68
2020-07-06,2.72
2020-07-07,2.66
2020-07-08,2.66
2020-07-09,2.67
2020-07-10,2.68
2020-07-13,2.53
2020-07-14,2.57
2020-07-15,2.52
2020-07-16,2.54
2020-07-17,2.54
2020-07-20,2.51
2020-07-21,2.5
2020-07-22,2.45
2020-07-23,2.44
2020-07-24,2.27
2020-07-27,2.15
2020-07-28,2.29
2020-07-29,2.28
2020-07-30,2.3
2020-07-31,2.24
2020-08-03,2.3
2020-08-04,2.34
