,price
2020-01-02,11.3
2020-01-03,11.15
2020-01-06,11.25
2020-01-07,11.25
2020-01-08,11.9
2020-01-09,11.35
2020-01-10,11.4
2020-01-13,11.4
2020-01-14,11.5
2020-01-15,12.3
2020-01-16,11.5
2020-01-17,11.4
2020-01-20,11.2
2020-01-21,11.0
2020-01-22,11.45
2020-01-30,11.6
2020-01-31,11.8
2020-02-03,11.3
2020-02-04,11.5
2020-02-05,11.6
2020-02-06,11.8
2020-02-07,11.8
2020-02-10,11.35
2020-02-11,11.75
2020-02-12,11.85
2020-02-13,11.8
2020-02-14,11.8
2020-02-17,11.8
2020-02-18,11.8
2020-02-19,11.8
2020-02-20,11.1
2020-02-21,11.7
2020-02-24,11.6
2020-02-25,11.95
2020-02-26,11.7
2020-02-27,11.95
2020-02-28,11.4
2020-03-02,11.6
2020-03-03,11.5
2020-03-04,12.0
2020-03-05,11.6
2020-03-06,11.6
2020-03-09,11.15
2020-03-10,11.1
2020-03-11,11.15
2020-03-12,11.15
2020-03-13,11.15
2020-03-16,10.55
2020-03-17,9.85
2020-03-18,10.5
2020-03-19,10.9
2020-03-20,11.05
2020-03-23,11.05
2020-03-24,11.05
2020-03-25,10.75
2020-03-26,11.3
2020-03-27,11.3
2020-03-30,10.55
2020-03-31,11.05
2020-04-01,10.6
2020-04-03,10.8
2020-04-06,11.55
2020-04-07,11.05
2020-04-08,11.15
2020-04-09,11.9
2020-04-10,11.6
2020-04-13,11.7
2020-04-14,11.35
2020-04-15,12.1
2020-04-16,12.1
2020-04-17,12.9
2020-04-20,12.65
2020-04-21,11.9
2020-04-22,12.0
2020-04-23,12.2
2020-04-24,13.05
2020-04-27,12.6
2020-04-28,13.45
2020-04-29,14.2
2020-05-04,13.25
2020-05-05,13.6
2020-05-06,13.5
2020-05-07,13.05
2020-05-08,13.95
2020-05-11,13.65
2020-05-12,14.0
2020-05-13,14.95
2020-05-14,14.1
2020-05-15,14.1
2020-05-18,13.8
2020-05-19,13.8
2020-05-20,13.8
2020-05-21,14.2
2020-05-22,13.6
2020-05-25,13.8
2020-05-26,14.0
2020-05-27,14.0
2020-05-28,14.1
2020-05-29,14.2
2020-06-01,14.6
2020-06-02,13.8
2020-06-03,13.85
2020-06-04,14.1
2020-06-05,14.2
2020-06-08,13.85
2020-06-09,14.4
2020-06-10,13.95
2020-06-11,13.8
2020-06-12,13.5
2020-06-15,13.3
2020-06-16,13.45
2020-06-17,12.6
2020-06-18,12.5
2020-06-19,12.55
2020-06-22,13.4
