,price
2020-01-02,50.9
2020-01-03,50.9
2020-01-06,50.9
2020-01-07,50.9
2020-01-08,50.9
2020-01-09,50.9
2020-01-10,50.9
2020-01-13,50.9
2020-01-14,50.9
2020-01-15,50.9
2020-01-16,50.9
2020-01-17,50.9
2020-01-20,50.9
2020-01-21,50.9
2020-01-22,50.9
2020-01-30,50.9
2020-01-31,50.9
2020-02-03,50.9
2020-02-04,50.9
2020-02-05,50.9
2020-02-06,50.9
2020-02-07,50.9
2020-02-10,50.9
2020-02-11,47.35
2020-02-12,47.35
2020-02-13,47.35
2020-02-14,44.05
2020-02-17,41.0
2020-02-18,38.15
2020-02-19,35.5
2020-02-20,33.5
2020-02-21,33.5
2020-02-24,33.5
2020-02-25,33.5
2020-02-26,33.5
2020-02-27,33.5
2020-02-28,31.3
2020-03-02,31.3
2020-03-03,31.3
2020-03-04,29.15
2020-03-05,28.0
2020-03-06,28.0
2020-03-09,28.0
2020-03-10,26.05
2020-03-11,26.05
2020-03-12,26.05
2020-03-13,26.05
2020-03-16,26.05
2020-03-17,26.05
2020-03-18,26.05
2020-03-19,24.25
2020-03-20,25.9
2020-03-23,25.9
2020-03-24,25.9
2020-03-25,25.9
2020-03-26,25.9
2020-03-27,25.9
2020-03-30,26.0
2020-03-31,26.0
2020-04-01,26.0
2020-04-03,26.0
2020-04-06,27.8
2020-04-07,27.8
2020-04-08,25.9
2020-04-09,25.9
2020-04-10,27.7
2020-04-13,29.6
2020-04-14,31.65
2020-04-15,33.85
2020-04-16,36.2
2020-04-17,38.7
2020-04-20,40.0
2020-04-21,39.0
2020-04-22,40.0
2020-04-23,42.0
2020-04-24,41.5
2020-04-27,41.5
2020-04-28,41.5
2020-04-29,41.5
2020-05-04,41.0
2020-05-05,41.0
2020-05-06,41.5
2020-05-07,41.5
2020-05-08,41.0
2020-05-11,41.0
2020-05-12,41.0
2020-05-13,41.0
2020-05-14,41.0
2020-05-15,41.0
2020-05-18,41.0
2020-05-19,41.0
2020-05-20,41.5
2020-05-21,41.5
2020-05-22,41.5
2020-05-25,40.4
2020-05-26,40.1
2020-05-27,40.1
2020-05-28,40.1
2020-05-29,40.5
2020-06-01,40.5
2020-06-02,40.0
2020-06-03,40.0
2020-06-04,40.5
2020-06-05,40.5
2020-06-08,43.2
2020-06-09,43.2
2020-06-10,46.0
2020-06-11,45.7
2020-06-12,45.7
2020-06-15,45.7
2020-06-16,45.7
2020-06-17,45.7
2020-06-18,45.7
2020-06-19,44.1
2020-06-22,44.1
2020-06-23,44.1
2020-06-24,44.1
2020-06-25,44.1
2020-06-26,44.1
2020-06-29,45.5
2020-06-30,46.0
2020-07-01,46.0
2020-07-02,46.0
2020-07-03,46.0
2020-07-06,46.0
2020-07-07,46.0
2020-07-08,46.0
2020-07-09,46.0
2020-07-10,46.0
2020-07-13,46.0
2020-07-14,45.5
2020-07-15,48.6
2020-07-16,48.6
2020-07-17,48.6
2020-07-20,48.6
2020-07-21,48.6
2020-07-22,48.6
2020-07-23,48.6
2020-07-24,45.5
2020-07-27,45.5
2020-07-28,45.5
2020-07-29,45.5
2020-07-30,45.5
2020-07-31,45.5
2020-08-03,45.5
2020-08-04,45.5
2020-08-05,45.5
2020-08-06,45.5
2020-08-07,45.5
2020-08-10,45.5
2020-08-11,45.5
2020-08-12,45.5
2020-08-13,45.5
2020-08-14,45.5
2020-08-17,45.5
2020-08-18,45.5
2020-08-19,45.5
2020-08-20,42.35
2020-08-21,42.35
2020-08-24,39.4
2020-08-25,42.15
2020-08-26,39.2
2020-08-27,41.8
2020-08-28,44.65
2020-08-31,46.8
2020-09-01,50.0
2020-09-03,46.5
2020-09-04,46.5
2020-09-07,45.0
2020-09-08,45.0
2020-09-09,45.0
2020-09-10,41.85
2020-09-11,41.85
2020-09-14,44.75
2020-09-15,41.65
2020-09-16,41.65
2020-09-17,44.5
2020-09-18,44.5
2020-09-21,45.0
2020-09-22,45.0
2020-09-23,45.0
2020-09-24,45.0
2020-09-25,45.0
2020-09-28,45.0
2020-09-29,48.0
2020-09-30,48.0
2020-10-01,48.0
2020-10-02,48.0
2020-10-05,48.0
2020-10-06,48.0
2020-10-07,48.0
2020-10-08,48.0
2020-10-09,48.0
2020-10-12,48.0
2020-10-13,48.0
2020-10-14,45.0
2020-10-15,42.0
2020-10-16,40.8
2020-10-19,40.8
2020-10-20,40.8
2020-10-21,40.8
2020-10-22,40.8
2020-10-23,40.8
2020-10-26,40.8
2020-10-27,40.8
2020-10-28,37.95
2020-10-29,37.95
2020-10-30,37.95
2020-11-02,35.4
2020-11-03,33.0
2020-11-04,33.0
2020-11-05,30.85
2020-11-06,28.75
2020-11-09,28.75
2020-11-10,28.75
2020-11-11,28.75
2020-11-12,28.75
2020-11-13,27.05
2020-11-16,27.05
2020-11-17,27.05
2020-11-18,27.05
2020-11-19,25.55
2020-11-20,25.55
2020-11-23,25.55
2020-11-24,25.55
2020-11-25,25.55
2020-11-26,25.55
2020-11-27,25.55
2020-11-30,25.55
2020-12-01,25.55
2020-12-02,25.55
2020-12-03,25.55
2020-12-04,27.3
2020-12-07,27.3
2020-12-08,27.3
2020-12-09,29.2
2020-12-10,31.2
2020-12-11,33.35
2020-12-14,35.65
2020-12-15,38.1
2020-12-16,40.75
2020-12-17,40.75
2020-12-18,40.75
2020-12-21,37.9
2020-12-22,37.9
2020-12-23,35.3
2020-12-24,32.85
2020-12-25,32.85
2020-12-28,35.1
2020-12-29,37.55
2020-12-30,37.55
2020-12-31,35.05
2021-01-04,35.05
2021-01-05,35.05
2021-01-06,32.6
2021-01-07,30.45
2021-01-08,30.5
2021-01-11,30.5
2021-01-12,30.5
2021-01-13,30.05
2021-01-14,30.05
2021-01-15,30.05
2021-01-18,28.05
2021-01-19,27.05
2021-01-20,27.05
2021-01-21,27.05
2021-01-22,27.05
2021-01-25,27.05
2021-01-26,27.05
2021-01-27,27.05
2021-01-28,28.9
2021-01-29,26.9
2021-02-01,26.9
2021-02-02,26.9
2021-02-03,26.9
2021-02-04,26.9
2021-02-05,26.9
2021-02-08,26.9
2021-02-09,26.9
2021-02-17,26.9
2021-02-18,26.9
2021-02-19,26.9
2021-02-22,26.9
2021-02-23,26.9
2021-02-24,26.9
2021-02-25,26.9
2021-02-26,26.9
2021-03-01,26.9
2021-03-02,26.9
2021-03-03,26.9
2021-03-04,26.9
2021-03-05,26.9
2021-03-08,26.9
2021-03-09,26.9
2021-03-10,26.9
2021-03-11,26.9
2021-03-12,26.9
2021-03-15,26.9
2021-03-16,26.9
2021-03-17,26.9
2021-03-18,28.75
2021-03-19,30.75
2021-03-22,32.9
2021-03-23,35.2
2021-03-24,37.65
2021-03-25,40.25
2021-03-26,40.25
2021-03-29,43.05
2021-03-30,43.05
2021-03-31,40.05
2021-04-01,37.25
2021-04-02,34.65
2021-04-05,34.65
2021-04-06,37.05
2021-04-07,38.0
2021-04-08,38.0
2021-04-09,40.0
2021-04-12,38.0
2021-04-13,38.0
2021-04-14,40.65
2021-04-15,40.7
2021-04-16,38.0
2021-04-19,38.0
2021-04-20,38.0
2021-04-22,35.35
2021-04-23,37.8
2021-04-26,37.8
2021-04-27,35.35
2021-04-28,32.9
2021-04-29,32.9
2021-05-04,30.6
2021-05-05,29.0
2021-05-06,29.0
2021-05-07,27.05
2021-05-10,27.05
2021-05-11,27.05
2021-05-12,27.05
2021-05-13,27.05
2021-05-14,27.05
2021-05-17,27.05
2021-05-18,27.05
2021-05-19,28.9
2021-05-20,28.05
2021-05-21,27.05
2021-05-24,27.05
2021-05-25,27.05
2021-05-26,27.05
2021-05-27,28.9
2021-05-28,27.05
2021-05-31,28.9
2021-06-01,28.9
2021-06-02,28.9
2021-06-03,26.9
2021-06-04,26.9
2021-06-07,26.9
2021-06-08,26.9
2021-06-09,26.9
2021-06-10,25.35
2021-06-11,25.35
2021-06-14,25.35
2021-06-15,25.35
2021-06-16,25.35
2021-06-17,27.1
2021-06-18,27.1
2021-06-21,28.95
2021-06-22,30.95
2021-06-23,33.1
2021-06-24,34.4
2021-06-25,35.0
2021-06-28,35.0
2021-06-29,37.45
2021-06-30,37.45
2021-07-01,38.0
2021-07-02,38.0
2021-07-05,38.0
2021-07-06,38.0
2021-07-07,35.35
2021-07-08,37.0
2021-07-09,35.0
2021-07-12,32.55
2021-07-13,30.3
2021-07-14,31.0
2021-07-15,33.15
2021-07-16,33.15
2021-07-19,30.85
2021-07-20,30.85
2021-07-21,30.85
2021-07-22,28.75
2021-07-23,30.75
2021-07-26,30.75
2021-07-27,30.75
2021-07-28,30.75
2021-07-29,32.9
2021-07-30,32.9
2021-08-02,32.9
2021-08-03,32.9
2021-08-04,34.9
2021-08-05,34.9
2021-08-06,37.3
2021-08-09,37.3
2021-08-10,39.5
2021-08-11,37.8
2021-08-12,37.5
2021-08-13,37.5
2021-08-16,38.0
2021-08-17,37.0
2021-08-18,37.0
2021-08-19,37.0
2021-08-20,37.0
2021-08-23,37.0
2021-08-24,37.0
2021-08-25,37.0
2021-08-26,37.0
2021-08-27,37.0
2021-08-30,37.4
2021-08-31,37.4
2021-09-01,37.4
2021-09-06,37.4
2021-09-07,37.4
2021-09-08,37.0
2021-09-09,37.0
2021-09-10,37.0
2021-09-13,36.95
2021-09-14,35.0
2021-09-15,35.0
2021-09-16,35.0
2021-09-17,35.0
2021-09-20,34.0
2021-09-21,34.0
2021-09-22,34.0
2021-09-23,31.8
2021-09-24,31.8
2021-09-27,32.0
2021-09-28,32.0
2021-09-29,32.0
2021-09-30,32.0
2021-10-01,32.0
2021-10-04,32.0
2021-10-05,32.0
2021-10-06,34.1
2021-10-07,36.4
2021-10-08,37.0
2021-10-11,37.0
2021-10-12,36.5
2021-10-13,36.4
2021-10-14,36.4
2021-10-15,36.4
2021-10-18,36.4
2021-10-19,36.4
2021-10-20,36.4
2021-10-21,36.4
2021-10-22,36.4
2021-10-25,36.4
2021-10-26,38.4
2021-10-27,38.4
2021-10-28,38.4
2021-10-29,38.0
2021-11-01,38.0
2021-11-02,38.0
2021-11-03,38.0
2021-11-04,38.0
2021-11-05,38.0
2021-11-08,37.0
2021-11-09,36.0
2021-11-10,36.0
2021-11-11,36.0
2021-11-12,36.0
2021-11-15,37.95
2021-11-16,36.0
2021-11-17,38.5
2021-11-18,38.5
2021-11-19,38.5
2021-11-22,38.5
2021-11-23,35.9
2021-11-24,35.9
2021-11-25,35.9
2021-11-26,38.4
2021-11-29,38.4
2021-11-30,38.5
2021-12-01,38.5
2021-12-02,38.5
2021-12-03,38.5
2021-12-06,35.85
2021-12-07,35.85
2021-12-08,35.85
2021-12-09,33.35
2021-12-10,33.35
2021-12-13,35.65
2021-12-14,38.1
2021-12-15,38.1
2021-12-16,38.1
2021-12-17,38.1
2021-12-20,38.1
2021-12-21,38.1
2021-12-22,38.1
2021-12-23,38.1
2021-12-24,38.1
2021-12-27,38.1
2021-12-28,38.1
2021-12-29,38.1
2021-12-30,38.1
2021-12-31,36.0
2022-01-04,33.55
2022-01-05,33.55
2022-01-06,33.55
2022-01-07,33.55
2022-01-10,35.85
2022-01-11,38.35
2022-01-12,38.35
2022-01-13,38.35
2022-01-14,38.35
2022-01-17,36.1
2022-01-18,36.1
2022-01-19,36.1
2022-01-20,36.1
2022-01-21,36.1
2022-01-24,36.1
2022-01-25,36.1
2022-01-26,36.1
2022-01-27,36.1
2022-01-28,36.1
2022-02-07,36.1
2022-02-08,36.1
2022-02-09,37.7
2022-02-10,40.2
2022-02-11,40.2
2022-02-14,40.2
2022-02-15,37.4
2022-02-16,40.0
2022-02-17,40.0
2022-02-18,40.0
2022-02-21,42.7
2022-02-22,39.85
2022-02-23,40.0
2022-02-24,40.0
2022-02-25,40.0
2022-02-28,38.0
2022-03-01,38.0
2022-03-02,38.0
2022-03-03,38.0
2022-03-04,38.5
2022-03-07,38.5
2022-03-08,35.85
2022-03-09,37.0
2022-03-10,37.0
2022-03-11,39.45
2022-03-14,39.45
2022-03-15,39.4
2022-03-16,39.0
2022-03-17,39.0
2022-03-18,38.5
2022-03-21,38.5
2022-03-22,38.5
2022-03-23,38.0
2022-03-24,40.0
2022-03-25,38.5
2022-03-28,37.95
2022-03-29,37.95
2022-03-30,35.5
2022-03-31,35.5
2022-04-01,35.5
2022-04-04,35.5
2022-04-05,37.4
2022-04-06,37.4
2022-04-07,37.4
2022-04-08,36.0
2022-04-12,36.0
2022-04-13,36.0
2022-04-14,38.4
2022-04-15,40.0
2022-04-18,38.0
2022-04-19,38.0
2022-04-20,38.0
2022-04-21,38.0
2022-04-22,38.0
2022-04-25,38.0
2022-04-26,38.0
2022-04-27,38.0
2022-04-28,38.0
2022-04-29,35.5
2022-05-04,35.5
2022-05-05,35.5
2022-05-06,35.5
2022-05-09,35.5
2022-05-10,35.5
2022-05-11,35.5
2022-05-12,35.5
2022-05-13,33.05
2022-05-16,33.05
2022-05-17,33.05
2022-05-18,33.05
2022-05-19,33.05
2022-05-20,33.05
2022-05-23,33.0
2022-05-24,32.0
2022-05-25,34.2
