,price
2020-01-02,26.35
2020-01-03,26.5
2020-01-06,26.45
2020-01-07,26.4
2020-01-08,26.4
2020-01-09,26.4
2020-01-10,26.35
2020-01-13,26.4
2020-01-14,26.4
2020-01-15,26.35
2020-01-16,26.9
2020-01-17,26.55
2020-01-20,26.55
2020-01-21,26.35
2020-01-22,26.5
2020-01-30,26.55
2020-01-31,26.55
2020-02-03,26.4
2020-02-04,26.4
2020-02-05,26.4
2020-02-06,26.5
2020-02-07,26.35
2020-02-10,26.5
2020-02-11,26.5
2020-02-12,26.55
2020-02-13,26.4
2020-02-14,26.5
2020-02-17,26.6
2020-02-18,26.8
2020-02-19,27.35
2020-02-20,28.5
2020-02-21,27.6
2020-02-24,27.2
2020-02-25,26.65
2020-02-26,26.7
2020-02-27,26.6
2020-02-28,27.05
2020-03-02,27.1
2020-03-03,26.9
2020-03-04,26.95
2020-03-05,27.0
2020-03-06,27.15
2020-03-09,26.9
2020-03-10,27.1
2020-03-11,27.3
2020-03-12,27.4
2020-03-13,27.6
2020-03-16,27.35
2020-03-17,27.5
2020-03-18,27.75
2020-03-19,28.0
2020-03-20,28.65
2020-03-23,29.8
2020-03-24,30.0
2020-03-25,30.0
2020-03-26,31.5
2020-03-27,27.8
2020-03-30,28.45
2020-03-31,28.7
2020-04-01,28.6
2020-04-03,27.15
2020-04-06,27.2
2020-04-07,27.55
2020-04-08,27.45
2020-04-09,27.25
2020-04-10,27.6
2020-04-13,27.65
2020-04-14,27.5
2020-04-15,27.25
2020-04-16,26.8
2020-04-17,26.85
2020-04-20,27.2
2020-04-21,26.9
2020-04-22,27.0
2020-04-23,26.8
2020-04-24,26.8
2020-04-27,28.0
2020-04-28,27.1
2020-04-29,26.95
2020-05-04,27.2
2020-05-05,27.15
2020-05-06,27.0
2020-05-07,26.9
2020-05-08,26.95
2020-05-11,26.9
2020-05-12,26.85
2020-05-13,26.95
2020-05-14,27.05
2020-05-15,27.1
2020-05-18,26.95
2020-05-19,26.8
2020-05-20,26.9
2020-05-21,26.9
2020-05-22,26.8
2020-05-25,26.85
2020-05-26,26.85
2020-05-27,27.0
2020-05-28,26.85
2020-05-29,26.8
2020-06-01,27.1
2020-06-02,27.5
2020-06-03,27.5
2020-06-04,27.35
2020-06-05,27.0
2020-06-08,27.1
2020-06-09,27.0
2020-06-10,26.7
2020-06-11,27.0
2020-06-12,26.7
2020-06-15,26.75
2020-06-16,26.75
2020-06-17,26.75
2020-06-18,26.75
2020-06-19,26.7
2020-06-22,26.7
2020-06-23,26.7
2020-06-24,26.7
2020-06-25,26.7
2020-06-26,26.7
2020-06-29,26.75
2020-06-30,28.6
2020-07-01,27.0
2020-07-02,26.95
2020-07-03,28.75
2020-07-06,28.7
2020-07-07,28.5
2020-07-08,28.65
2020-07-09,27.0
2020-07-10,27.3
2020-07-13,27.15
2020-07-14,27.2
2020-07-15,27.15
2020-07-16,27.0
2020-07-17,27.0
2020-07-20,27.1
2020-07-21,27.1
2020-07-22,27.0
2020-07-23,27.1
2020-07-24,27.0
2020-07-27,26.9
2020-07-28,26.9
2020-07-29,26.85
2020-07-30,26.85
2020-07-31,26.85
2020-08-03,27.0
2020-08-04,25.6
2020-08-05,27.0
2020-08-06,26.7
2020-08-07,26.6
2020-08-10,26.4
2020-08-11,26.35
2020-08-12,26.45
2020-08-13,26.45
2020-08-14,26.45
2020-08-17,26.6
2020-08-18,26.5
2020-08-19,26.5
2020-08-20,26.6
2020-08-21,26.5
2020-08-24,26.6
2020-08-25,26.65
2020-08-26,26.75
2020-08-27,26.55
2020-08-28,26.6
2020-08-31,26.5
2020-09-01,26.7
2020-09-03,26.7
2020-09-04,26.5
2020-09-07,26.5
2020-09-08,26.0
2020-09-09,26.25
2020-09-10,26.5
2020-09-11,27.5
2020-09-14,27.4
2020-09-15,27.4
2020-09-16,27.4
2020-09-17,27.4
2020-09-18,27.45
2020-09-21,27.9
2020-09-22,28.85
2020-09-23,30.8
2020-09-24,26.9
2020-09-25,26.0
2020-09-28,26.05
2020-09-29,26.05
2020-09-30,27.2
2020-10-01,26.5
2020-10-02,26.1
2020-10-05,26.0
2020-10-06,26.0
2020-10-07,26.0
2020-10-08,26.5
2020-10-09,26.5
2020-10-12,27.8
2020-10-13,27.0
2020-10-14,27.5
2020-10-15,27.0
2020-10-16,27.0
2020-10-19,26.9
2020-10-20,26.9
2020-10-21,27.0
2020-10-22,26.9
2020-10-23,26.9
2020-10-26,26.9
2020-10-27,26.85
2020-10-28,26.9
2020-10-29,26.9
2020-10-30,26.65
2020-11-02,28.1
2020-11-03,28.45
2020-11-04,28.3
2020-11-05,28.5
2020-11-06,28.6
2020-11-09,28.6
2020-11-10,29.0
2020-11-11,28.5
2020-11-12,28.7
2020-11-13,28.9
2020-11-16,29.0
2020-11-17,29.0
2020-11-18,29.5
2020-11-19,28.9
2020-11-20,28.9
2020-11-23,28.85
2020-11-24,28.5
2020-11-25,27.35
2020-11-26,28.0
2020-11-27,28.3
2020-11-30,27.75
2020-12-01,27.7
2020-12-02,27.7
2020-12-03,26.4
2020-12-04,28.15
2020-12-07,30.0
2020-12-08,28.1
2020-12-09,27.2
2020-12-10,27.55
2020-12-11,27.6
2020-12-14,27.7
2020-12-15,27.7
2020-12-16,27.2
2020-12-17,27.9
2020-12-18,27.5
2020-12-21,27.1
2020-12-22,28.0
2020-12-23,27.85
2020-12-24,27.25
2020-12-25,28.5
2020-12-28,28.4
2020-12-29,28.4
2020-12-30,28.3
2020-12-31,28.5
2021-01-04,28.0
2021-01-05,28.25
2021-01-06,29.8
2021-01-07,31.75
2021-01-08,33.8
2021-01-11,33.8
2021-01-12,33.5
2021-01-13,33.0
2021-01-14,33.75
2021-01-15,33.0
2021-01-18,34.4
2021-01-19,34.4
2021-01-20,35.5
2021-01-21,34.6
2021-01-22,34.4
2021-01-25,34.4
2021-01-26,34.0
2021-01-27,34.35
2021-01-28,34.0
2021-01-29,36.35
2021-02-01,37.95
2021-02-02,39.0
2021-02-03,38.55
2021-02-04,37.25
2021-02-05,37.55
2021-02-09,38.5
2021-02-17,41.15
2021-02-18,42.45
2021-02-19,41.95
2021-02-22,39.55
2021-02-23,37.95
2021-02-24,37.45
2021-02-25,38.45
2021-02-26,38.1
2021-03-01,39.15
2021-03-02,36.7
2021-03-03,34.6
2021-03-04,34.85
2021-03-05,34.3
2021-03-08,34.7
2021-03-09,35.4
2021-03-10,36.15
2021-03-11,37.2
2021-03-12,36.65
2021-03-15,36.05
2021-03-16,36.55
2021-03-17,36.65
2021-03-18,37.85
2021-03-19,37.4
2021-03-22,35.7
2021-03-23,34.55
2021-03-24,34.75
2021-03-25,35.3
2021-03-26,35.3
2021-03-29,35.3
2021-03-30,35.6
2021-03-31,35.1
2021-04-01,35.85
2021-04-02,36.0
2021-04-05,36.4
2021-04-06,36.65
2021-04-07,36.0
2021-04-08,35.55
2021-04-09,35.6
2021-04-12,35.6
2021-04-13,34.8
2021-04-14,33.7
2021-04-15,33.25
2021-04-16,33.4
2021-04-19,33.4
2021-04-20,32.6
2021-04-22,32.65
2021-04-23,32.9
2021-04-26,32.8
2021-04-27,33.15
2021-04-28,33.55
2021-04-29,33.7
2021-05-04,33.95
2021-05-05,34.65
2021-05-06,34.2
2021-05-07,33.75
2021-05-10,34.0
2021-05-11,33.7
2021-05-12,33.7
2021-05-13,33.9
2021-05-14,34.55
2021-05-17,34.3
2021-05-18,34.95
2021-05-19,34.8
2021-05-20,35.9
2021-05-21,36.65
2021-05-24,36.05
2021-05-25,36.4
2021-05-26,36.35
2021-05-27,36.4
2021-05-28,36.5
2021-05-31,37.65
2021-06-01,38.5
2021-06-02,38.0
2021-06-03,37.85
2021-06-04,37.9
2021-06-07,38.1
2021-06-08,38.8
2021-06-09,39.6
2021-06-10,40.45
2021-06-11,40.0
2021-06-14,40.2
2021-06-15,40.45
2021-06-16,40.6
2021-06-17,39.75
2021-06-18,38.75
2021-06-21,38.3
2021-06-22,36.35
2021-06-23,34.55
2021-06-24,35.55
2021-06-25,34.7
2021-06-28,34.75
2021-06-29,34.9
2021-06-30,34.7
2021-07-01,34.7
2021-07-02,34.1
2021-07-05,34.1
2021-07-06,34.2
2021-07-07,32.0
2021-07-08,32.5
2021-07-09,33.1
2021-07-12,31.8
2021-07-13,31.05
2021-07-14,32.05
2021-07-15,32.1
2021-07-16,32.5
2021-07-19,30.8
2021-07-20,32.4
2021-07-21,32.0
2021-07-22,31.5
2021-07-23,30.5
2021-07-26,30.9
2021-07-27,31.05
2021-07-28,30.75
2021-07-29,30.1
2021-07-30,30.0
2021-08-02,31.2
2021-08-03,31.2
2021-08-04,30.75
2021-08-05,31.0
2021-08-06,30.2
2021-08-09,31.7
2021-08-10,33.7
2021-08-11,32.6
2021-08-12,32.85
2021-08-13,32.6
2021-08-16,34.2
2021-08-17,33.25
2021-08-18,33.7
2021-08-19,35.0
2021-08-20,34.3
2021-08-23,36.0
2021-08-24,36.2
2021-08-25,37.5
2021-08-26,39.5
2021-08-27,41.0
2021-08-30,41.5
2021-08-31,43.05
2021-09-01,43.05
2021-09-06,37.45
2021-09-07,35.05
2021-09-08,32.75
2021-09-09,32.75
2021-09-10,34.9
2021-09-13,34.15
2021-09-14,34.15
2021-09-15,33.15
2021-09-16,34.0
2021-09-17,33.65
2021-09-20,32.0
2021-09-21,30.55
2021-09-22,31.7
2021-09-23,32.5
2021-09-24,32.5
2021-09-27,30.8
2021-09-28,31.0
2021-09-29,32.7
2021-09-30,32.0
2021-10-01,30.3
2021-10-04,30.3
2021-10-05,30.45
2021-10-06,30.5
2021-10-07,31.55
2021-10-08,32.5
2021-10-11,32.8
2021-10-12,32.1
2021-10-13,31.1
2021-10-14,31.7
2021-10-15,30.7
2021-10-18,30.7
2021-10-19,31.0
2021-10-20,31.45
2021-10-21,31.5
2021-10-22,31.0
2021-10-25,31.8
2021-10-26,33.05
2021-10-27,34.6
2021-10-28,33.1
2021-10-29,33.15
2021-11-01,34.0
2021-11-02,36.15
2021-11-03,33.9
2021-11-04,33.3
2021-11-05,33.3
2021-11-08,33.7
2021-11-09,34.0
2021-11-10,35.5
2021-11-11,36.8
2021-11-12,36.0
2021-11-15,36.55
2021-11-16,34.95
2021-11-17,34.5
2021-11-18,36.9
2021-11-19,37.0
2021-11-22,35.8
2021-11-23,36.0
2021-11-24,35.8
2021-11-25,38.3
2021-11-26,40.0
2021-11-29,39.95
2021-11-30,38.35
2021-12-01,39.35
2021-12-02,39.25
2021-12-03,36.9
2021-12-06,34.35
2021-12-07,35.0
2021-12-08,35.1
2021-12-09,35.65
2021-12-10,34.4
2021-12-13,35.4
2021-12-14,35.8
2021-12-15,34.5
2021-12-16,35.05
2021-12-17,35.8
2021-12-20,34.5
2021-12-21,34.45
2021-12-22,34.9
2021-12-23,32.7
2021-12-24,34.4
2021-12-27,33.9
2021-12-28,33.8
2021-12-29,33.4
2021-12-30,33.1
2021-12-31,33.3
2022-01-04,34.15
2022-01-05,33.9
2022-01-06,33.95
2022-01-07,33.95
2022-01-10,33.4
2022-01-11,33.3
2022-01-12,33.5
2022-01-13,33.0
2022-01-14,33.1
2022-01-17,31.5
2022-01-18,32.0
2022-01-19,32.0
2022-01-20,32.65
2022-01-21,32.5
2022-01-24,32.0
2022-01-25,32.0
2022-01-26,32.1
2022-01-27,32.55
2022-01-28,32.55
2022-02-07,33.6
2022-02-08,33.6
2022-02-09,33.9
2022-02-10,33.4
2022-02-11,33.8
2022-02-14,34.0
2022-02-15,34.2
2022-02-16,33.85
2022-02-17,33.2
2022-02-18,33.2
2022-02-21,32.95
2022-02-22,33.0
2022-02-23,32.5
2022-02-24,32.5
2022-02-25,31.5
2022-02-28,31.15
2022-03-01,31.1
2022-03-02,30.7
2022-03-03,30.8
2022-03-04,30.85
2022-03-07,30.85
2022-03-08,30.8
2022-03-09,30.7
2022-03-10,30.85
2022-03-11,30.6
2022-03-14,30.6
2022-03-15,30.6
2022-03-16,31.0
2022-03-17,32.0
2022-03-18,32.25
2022-03-21,30.8
2022-03-22,30.6
2022-03-23,30.5
2022-03-24,30.45
2022-03-25,30.45
2022-03-28,30.0
2022-03-29,29.95
2022-03-30,29.5
2022-03-31,30.0
2022-04-01,29.9
2022-04-04,30.3
2022-04-05,29.85
2022-04-06,29.7
2022-04-07,29.6
2022-04-08,29.45
2022-04-12,29.1
2022-04-13,28.9
2022-04-14,28.7
2022-04-15,28.7
2022-04-18,27.2
2022-04-19,27.0
2022-04-20,27.0
2022-04-21,27.0
2022-04-22,27.0
2022-04-25,26.95
2022-04-26,27.0
2022-04-27,27.0
2022-04-28,27.0
2022-04-29,27.0
2022-05-04,27.0
2022-05-05,26.95
2022-05-06,26.95
2022-05-09,26.9
2022-05-10,27.0
2022-05-11,26.85
2022-05-12,26.75
2022-05-13,26.5
2022-05-16,26.5
2022-05-17,26.5
2022-05-18,26.35
2022-05-19,26.5
2022-05-20,26.5
2022-05-23,26.3
2022-05-24,24.7
2022-05-25,26.3
