,price
2020-01-02,7.54
2020-01-03,7.53
2020-01-06,7.48
2020-01-07,7.48
2020-01-08,7.44
2020-01-09,7.52
2020-01-10,7.5
2020-01-13,7.44
2020-01-14,7.42
2020-01-15,7.42
2020-01-16,7.42
2020-01-17,7.42
2020-01-20,7.42
2020-01-21,7.4
2020-01-22,7.48
2020-01-30,8.0
2020-01-31,8.19
2020-02-03,7.7
2020-02-04,7.17
2020-02-05,6.67
2020-02-06,6.27
2020-02-07,6.13
2020-02-10,6.03
2020-02-11,5.89
2020-02-12,5.72
2020-02-13,6.12
2020-02-14,6.54
2020-02-17,6.31
2020-02-18,6.28
2020-02-19,6.06
2020-02-20,6.17
2020-02-21,6.16
2020-02-24,5.76
2020-02-25,5.85
2020-02-26,5.72
2020-02-27,6.0
2020-02-28,5.7
2020-03-02,5.66
2020-03-03,5.75
2020-03-04,5.92
2020-03-05,5.87
2020-03-06,5.8
2020-03-09,5.4
2020-03-10,5.38
2020-03-11,5.14
2020-03-12,4.79
2020-03-13,4.63
2020-03-16,4.46
2020-03-17,4.5
2020-03-18,4.81
2020-03-19,4.8
2020-03-20,4.79
2020-03-23,4.46
2020-03-24,4.45
2020-03-25,4.45
2020-03-26,4.14
2020-03-27,3.9
2020-03-30,3.63
2020-03-31,3.38
2020-04-01,3.59
2020-04-03,3.84
2020-04-06,4.1
2020-04-07,4.38
2020-04-08,4.68
2020-04-09,5.0
2020-04-10,5.35
2020-04-13,5.72
2020-04-14,6.12
2020-04-15,6.54
2020-04-16,6.09
2020-04-17,5.88
2020-04-20,6.0
2020-04-21,5.58
2020-04-22,5.5
2020-04-23,5.7
2020-04-24,5.6
2020-04-27,5.67
2020-04-28,5.6
2020-04-29,5.6
2020-05-04,5.46
2020-05-05,5.45
2020-05-06,5.4
2020-05-07,5.42
2020-05-08,5.6
2020-05-11,5.6
2020-05-12,5.99
2020-05-13,5.9
2020-05-14,5.7
2020-05-15,5.53
2020-05-18,5.6
2020-05-19,5.5
2020-05-20,5.62
2020-05-21,5.59
2020-05-22,5.54
2020-05-25,5.42
2020-05-26,5.48
2020-05-27,5.39
2020-05-28,5.36
2020-05-29,5.29
2020-06-01,5.34
2020-06-02,5.29
2020-06-03,5.27
2020-06-04,5.24
2020-06-05,5.25
2020-06-08,5.61
2020-06-09,5.84
2020-06-10,5.7
2020-06-11,5.35
2020-06-12,5.05
2020-06-15,5.05
2020-06-16,5.05
2020-06-17,5.2
2020-06-18,5.29
2020-06-19,5.25
2020-06-22,5.34
2020-06-23,5.3
2020-06-24,5.23
2020-06-25,5.14
2020-06-26,5.17
2020-06-29,4.81
2020-06-30,4.83
2020-07-01,4.95
2020-07-02,5.05
2020-07-03,4.85
2020-07-06,4.98
2020-07-07,4.98
2020-07-08,4.92
2020-07-09,4.85
2020-07-10,4.81
2020-07-13,4.9
2020-07-14,4.88
2020-07-15,4.9
2020-07-16,4.9
2020-07-17,4.86
2020-07-20,4.89
2020-07-21,4.87
2020-07-22,4.89
2020-07-23,4.85
2020-07-24,4.68
2020-07-27,4.36
2020-07-28,4.36
2020-07-29,4.28
2020-07-30,4.26
2020-07-31,4.3
2020-08-03,4.59
2020-08-04,4.6
2020-08-05,4.75
2020-08-06,4.8
2020-08-07,4.75
2020-08-10,4.75
2020-08-11,4.6
2020-08-12,4.65
2020-08-13,4.63
2020-08-14,4.56
2020-08-17,4.55
2020-08-18,4.55
2020-08-19,4.59
2020-08-20,4.51
2020-08-21,4.59
2020-08-24,4.79
2020-08-25,4.76
2020-08-26,4.8
2020-08-27,4.81
2020-08-28,5.14
2020-08-31,5.49
2020-09-01,5.7
2020-09-03,5.31
2020-09-04,5.13
2020-09-07,5.13
2020-09-08,5.12
2020-09-09,5.13
2020-09-10,5.25
2020-09-11,5.23
2020-09-14,5.09
2020-09-15,5.22
2020-09-16,5.19
2020-09-17,5.25
2020-09-18,5.25
2020-09-21,5.18
2020-09-22,5.06
2020-09-23,5.1
2020-09-24,5.08
2020-09-25,5.08
2020-09-28,5.13
2020-09-29,5.1
2020-09-30,5.15
2020-10-01,5.19
2020-10-02,5.19
2020-10-05,5.25
2020-10-06,5.15
2020-10-07,5.15
2020-10-08,5.16
2020-10-09,5.12
2020-10-12,5.14
2020-10-13,5.15
2020-10-14,5.07
2020-10-15,5.0
2020-10-16,5.0
2020-10-19,4.93
2020-10-20,4.9
2020-10-21,4.82
2020-10-22,4.78
2020-10-23,4.91
2020-10-26,4.86
2020-10-27,4.9
2020-10-28,4.84
2020-10-29,4.89
2020-10-30,4.77
2020-11-02,4.68
2020-11-03,4.72
2020-11-04,4.64
2020-11-05,4.69
2020-11-06,4.9
2020-11-09,4.88
2020-11-10,4.8
2020-11-11,4.75
2020-11-12,4.79
2020-11-13,4.83
2020-11-16,4.86
2020-11-17,4.83
2020-11-18,4.87
2020-11-19,4.77
2020-11-20,4.85
2020-11-23,4.93
2020-11-24,4.8
2020-11-25,4.81
2020-11-26,4.81
2020-11-27,4.75
2020-11-30,4.84
2020-12-01,4.88
2020-12-02,4.9
2020-12-03,4.9
2020-12-04,5.13
2020-12-07,5.39
2020-12-08,5.59
2020-12-09,5.49
2020-12-10,5.87
2020-12-11,6.27
2020-12-14,6.7
2020-12-15,7.0
2020-12-16,6.51
2020-12-17,6.06
2020-12-18,6.23
2020-12-21,6.2
