,price
2020-01-02,11.2
2020-01-03,11.2
2020-01-06,11.15
2020-01-07,11.15
2020-01-08,11.15
2020-01-09,11.2
2020-01-10,11.0
2020-01-13,10.9
2020-01-14,11.3
2020-01-15,11.3
2020-01-16,11.4
2020-01-17,11.4
2020-01-20,11.3
2020-01-21,11.3
2020-01-22,11.45
2020-01-30,11.4
2020-01-31,11.2
2020-02-03,11.1
2020-02-04,11.0
2020-02-05,11.1
2020-02-06,11.15
2020-02-07,11.2
2020-02-10,11.2
2020-02-11,11.3
2020-02-12,11.2
2020-02-13,11.2
2020-02-14,11.2
2020-02-17,11.2
2020-02-18,11.2
2020-02-19,11.2
2020-02-20,11.25
2020-02-21,11.25
2020-02-24,11.0
2020-02-25,11.3
2020-02-26,10.95
2020-02-27,10.95
2020-02-28,11.25
2020-03-02,11.25
2020-03-03,11.2
2020-03-04,11.2
2020-03-05,11.2
2020-03-06,11.3
2020-03-09,11.0
2020-03-10,11.15
2020-03-11,11.15
2020-03-12,10.65
2020-03-13,10.5
2020-03-16,10.9
2020-03-17,10.8
2020-03-18,11.2
2020-03-19,11.25
2020-03-20,11.4
2020-03-23,10.65
2020-03-24,10.65
2020-03-25,11.0
2020-03-26,10.6
2020-03-27,10.7
2020-03-30,10.55
2020-03-31,10.3
2020-04-01,10.6
2020-04-03,10.25
2020-04-06,10.8
2020-04-07,10.5
2020-04-08,10.4
2020-04-09,10.75
2020-04-10,10.8
2020-04-13,10.8
2020-04-14,10.45
2020-04-15,10.95
2020-04-16,10.8
2020-04-17,10.7
2020-04-20,11.2
2020-04-21,11.2
2020-04-22,11.15
2020-04-23,10.75
2020-04-24,10.8
2020-04-27,10.9
2020-04-28,11.1
2020-04-29,11.1
2020-05-04,11.0
2020-05-05,11.0
2020-05-06,11.1
2020-05-07,11.5
2020-05-08,11.8
2020-05-11,11.9
2020-05-12,11.85
2020-05-13,12.0
2020-05-14,12.0
2020-05-15,11.6
2020-05-18,12.3
2020-05-19,12.4
2020-05-20,12.35
2020-05-21,12.0
2020-05-22,12.0
2020-05-25,12.1
2020-05-26,12.4
2020-05-27,12.5
2020-05-28,12.6
2020-05-29,12.6
2020-06-01,12.35
2020-06-02,12.5
2020-06-03,12.35
2020-06-04,12.65
2020-06-05,12.7
2020-06-08,12.65
2020-06-09,12.6
2020-06-10,12.5
2020-06-11,12.75
2020-06-12,12.7
2020-06-15,12.5
2020-06-16,12.65
2020-06-17,12.65
2020-06-18,12.7
2020-06-19,12.65
2020-06-22,12.65
2020-06-23,12.8
2020-06-24,12.8
2020-06-25,12.8
2020-06-26,12.8
2020-06-29,12.75
2020-06-30,12.75
2020-07-01,12.8
2020-07-02,13.4
2020-07-03,13.6
2020-07-06,13.2
2020-07-07,13.45
2020-07-08,13.1
2020-07-09,13.1
2020-07-10,13.0
2020-07-13,13.1
2020-07-14,13.2
2020-07-15,13.3
2020-07-16,13.2
2020-07-17,12.25
2020-07-20,12.3
2020-07-21,11.75
2020-07-22,12.0
2020-07-23,11.8
2020-07-24,11.7
2020-07-27,11.3
2020-07-28,11.4
2020-07-29,11.9
2020-07-30,11.5
2020-07-31,11.6
2020-08-03,11.6
2020-08-04,11.8
2020-08-05,11.6
2020-08-06,11.6
2020-08-07,11.6
2020-08-10,11.9
2020-08-11,11.9
2020-08-12,12.0
2020-08-13,11.9
2020-08-14,11.9
2020-08-17,11.7
2020-08-18,11.95
2020-08-19,12.0
2020-08-20,11.9
2020-08-21,11.7
2020-08-24,11.9
2020-08-25,11.9
2020-08-26,11.85
2020-08-27,11.85
2020-08-28,11.8
2020-08-31,11.8
2020-09-01,12.0
2020-09-03,11.85
2020-09-04,11.9
2020-09-07,11.8
2020-09-08,11.9
2020-09-09,12.0
2020-09-10,11.9
2020-09-11,11.95
2020-09-14,11.9
2020-09-15,12.0
2020-09-16,12.0
2020-09-17,12.0
2020-09-18,11.95
2020-09-21,11.95
2020-09-22,11.95
2020-09-23,12.0
2020-09-24,12.0
2020-09-25,12.05
2020-09-28,12.3
2020-09-29,12.1
2020-09-30,12.1
2020-10-01,12.2
2020-10-02,12.2
2020-10-05,12.6
2020-10-06,12.45
2020-10-07,12.65
2020-10-08,12.7
2020-10-09,12.5
2020-10-12,12.35
2020-10-13,12.7
2020-10-14,12.4
2020-10-15,12.4
2020-10-16,12.7
2020-10-19,12.45
2020-10-20,12.5
2020-10-21,12.45
2020-10-22,12.45
2020-10-23,12.6
2020-10-26,12.4
2020-10-27,12.15
2020-10-28,12.15
2020-10-29,12.15
2020-10-30,12.15
2020-11-02,12.5
2020-11-03,12.65
2020-11-04,12.55
2020-11-05,12.4
2020-11-06,12.2
2020-11-09,12.5
2020-11-10,12.5
2020-11-11,12.5
2020-11-12,12.5
2020-11-13,12.5
2020-11-16,12.25
2020-11-17,12.25
2020-11-18,12.2
2020-11-19,12.35
2020-11-20,12.8
2020-11-23,12.6
2020-11-24,12.6
2020-11-25,12.5
2020-11-26,12.5
2020-11-27,12.4
2020-11-30,12.4
2020-12-01,12.3
2020-12-02,13.15
2020-12-03,14.05
2020-12-04,14.2
2020-12-07,14.05
2020-12-08,14.4
2020-12-09,14.45
2020-12-10,14.1
2020-12-11,14.35
2020-12-14,14.65
2020-12-15,14.65
2020-12-16,14.45
2020-12-17,14.3
2020-12-18,13.65
2020-12-21,13.8
2020-12-22,13.55
2020-12-23,13.7
2020-12-24,13.2
2020-12-25,13.5
2020-12-28,13.5
2020-12-29,14.0
2020-12-30,13.75
2020-12-31,13.85
2021-01-04,14.0
2021-01-05,13.95
2021-01-06,14.3
2021-01-07,14.85
2021-01-08,14.9
2021-01-11,14.5
2021-01-12,14.3
2021-01-13,14.5
2021-01-14,14.6
