,price
2020-01-02,17.75
2020-01-03,17.7
2020-01-06,17.7
2020-01-07,17.7
2020-01-08,17.7
2020-01-09,17.75
2020-01-10,17.85
2020-01-13,17.8
2020-01-14,17.85
2020-01-15,17.9
2020-01-16,18.2
2020-01-17,18.25
2020-01-20,18.3
2020-01-21,18.3
2020-01-22,18.4
2020-01-30,18.35
2020-01-31,18.35
2020-02-03,18.35
2020-02-04,18.35
2020-02-05,18.45
2020-02-06,18.5
2020-02-07,18.8
2020-02-10,19.3
2020-02-11,19.2
2020-02-12,19.1
2020-02-13,18.9
2020-02-14,18.75
2020-02-17,18.65
2020-02-18,18.45
2020-02-19,18.45
2020-02-20,18.45
2020-02-21,18.55
2020-02-24,18.35
2020-02-25,18.05
2020-02-26,17.6
2020-02-27,17.7
2020-02-28,17.65
2020-03-02,17.6
2020-03-03,17.7
2020-03-04,17.75
2020-03-05,17.65
2020-03-06,17.75
2020-03-09,16.7
2020-03-10,16.8
2020-03-11,16.65
2020-03-12,15.95
2020-03-13,14.85
2020-03-16,15.0
2020-03-17,15.5
2020-03-18,15.9
2020-03-19,16.2
2020-03-20,15.7
2020-03-23,14.8
2020-03-24,14.5
2020-03-25,15.2
2020-03-26,15.0
2020-03-27,14.9
2020-03-30,14.8
2020-03-31,15.0
2020-04-01,14.8
2020-04-03,15.0
2020-04-06,15.15
2020-04-07,15.0
2020-04-08,15.0
2020-04-09,15.2
2020-04-10,15.0
2020-04-13,14.9
2020-04-14,14.9
2020-04-15,14.9
2020-04-16,14.9
2020-04-17,14.95
2020-04-20,14.95
2020-04-21,14.5
2020-04-22,14.8
2020-04-23,14.9
2020-04-24,14.9
2020-04-27,14.9
2020-04-28,14.9
2020-04-29,14.85
2020-05-04,15.85
2020-05-05,16.95
2020-05-06,17.6
2020-05-07,18.8
2020-05-08,18.6
2020-05-11,17.9
2020-05-12,17.5
2020-05-13,18.05
2020-05-14,18.0
2020-05-15,17.7
2020-05-18,17.75
2020-05-19,17.8
2020-05-20,17.45
2020-05-21,17.45
2020-05-22,17.5
2020-05-25,17.8
2020-05-26,19.0
2020-05-27,20.2
2020-05-28,19.3
2020-05-29,19.1
2020-06-01,18.75
2020-06-02,18.7
2020-06-03,19.3
2020-06-04,18.8
2020-06-05,19.2
2020-06-08,19.05
2020-06-09,19.05
2020-06-10,19.0
2020-06-11,18.5
2020-06-12,18.1
2020-06-15,17.6
2020-06-16,18.5
2020-06-17,18.3
2020-06-18,18.4
2020-06-19,18.45
2020-06-22,19.65
2020-06-23,19.4
2020-06-24,18.7
2020-06-25,18.6
2020-06-26,18.3
2020-06-29,17.85
2020-06-30,18.15
2020-07-01,18.2
2020-07-02,18.15
2020-07-03,18.15
2020-07-06,19.4
2020-07-07,19.7
2020-07-08,19.6
2020-07-09,19.5
2020-07-10,19.35
2020-07-13,19.35
2020-07-14,19.35
2020-07-15,19.7
2020-07-16,19.6
2020-07-17,19.6
2020-07-20,19.5
2020-07-21,19.5
2020-07-22,19.5
2020-07-23,20.55
2020-07-24,19.8
2020-07-27,18.5
2020-07-28,19.75
2020-07-29,19.0
2020-07-30,18.7
2020-07-31,17.9
2020-08-03,18.4
2020-08-04,18.4
2020-08-05,18.4
2020-08-06,18.5
2020-08-07,18.55
2020-08-10,18.9
2020-08-11,18.95
2020-08-12,19.1
2020-08-13,19.1
2020-08-14,18.7
2020-08-17,18.8
2020-08-18,18.8
2020-08-19,19.55
2020-08-20,19.45
2020-08-21,19.5
2020-08-24,19.55
2020-08-25,19.5
2020-08-26,19.3
2020-08-27,19.4
2020-08-28,19.7
2020-08-31,20.15
2020-09-01,20.2
2020-09-03,19.9
2020-09-04,20.6
2020-09-07,20.65
2020-09-08,20.7
2020-09-09,20.85
2020-09-10,21.6
2020-09-11,23.1
2020-09-14,23.95
2020-09-15,24.35
2020-09-16,24.2
2020-09-17,25.0
2020-09-18,26.0
2020-09-21,26.6
2020-09-22,26.9
2020-09-23,26.8
2020-09-24,25.9
2020-09-25,25.0
2020-09-28,25.8
2020-09-29,25.0
2020-09-30,25.2
2020-10-01,25.65
2020-10-02,25.5
2020-10-05,25.5
2020-10-06,25.1
2020-10-07,26.85
2020-10-08,27.5
2020-10-09,27.6
2020-10-12,26.7
2020-10-13,26.7
2020-10-14,26.85
2020-10-15,27.9
2020-10-16,26.55
2020-10-19,26.8
2020-10-20,26.5
2020-10-21,26.5
2020-10-22,26.9
2020-10-23,27.6
2020-10-26,26.7
2020-10-27,26.9
2020-10-28,26.5
2020-10-29,26.7
2020-10-30,27.25
2020-11-02,29.15
2020-11-03,31.15
2020-11-04,33.3
2020-11-05,34.2
2020-11-06,33.6
2020-11-09,33.1
2020-11-10,34.3
2020-11-11,36.7
2020-11-12,39.25
2020-11-13,37.9
2020-11-16,37.3
2020-11-17,37.5
2020-11-18,37.4
2020-11-19,38.4
2020-11-20,39.4
2020-11-23,38.0
2020-11-24,38.2
2020-11-25,38.2
2020-11-26,38.4
2020-11-27,38.65
2020-11-30,41.35
2020-12-01,44.0
2020-12-02,45.0
2020-12-03,45.0
2020-12-04,44.1
2020-12-07,44.0
2020-12-08,45.0
2020-12-09,44.75
2020-12-10,43.0
2020-12-11,43.25
2020-12-14,43.45
2020-12-15,43.6
2020-12-16,44.15
2020-12-17,42.2
2020-12-18,42.9
2020-12-21,42.05
2020-12-22,39.45
2020-12-23,41.0
2020-12-24,38.3
2020-12-25,39.8
2020-12-28,39.0
2020-12-29,38.4
2020-12-30,41.05
2020-12-31,43.2
2021-01-04,41.8
2021-01-05,40.6
2021-01-06,41.4
2021-01-07,41.0
2021-01-08,41.0
2021-01-11,41.85
2021-01-12,43.6
2021-01-13,46.65
2021-01-14,46.5
2021-01-15,45.5
2021-01-18,45.3
2021-01-19,42.25
2021-01-20,44.7
2021-01-21,46.95
2021-01-22,47.2
2021-01-25,49.0
2021-01-26,48.0
2021-01-27,46.85
2021-01-28,43.6
2021-01-29,36.0
2021-02-01,33.5
2021-02-02,34.5
2021-02-03,33.3
2021-02-04,33.65
2021-02-05,33.9
2021-02-08,32.8
2021-02-09,34.0
2021-02-17,36.35
2021-02-18,38.85
2021-02-19,41.5
2021-02-22,42.1
2021-02-23,41.6
2021-02-24,40.9
2021-02-25,40.9
2021-02-26,42.6
2021-03-01,45.3
2021-03-02,45.4
2021-03-03,44.7
2021-03-04,43.4
2021-03-05,43.0
2021-03-08,43.8
2021-03-09,44.6
2021-03-10,44.55
2021-03-11,44.25
2021-03-12,43.75
2021-03-15,43.95
2021-03-16,46.5
2021-03-17,47.5
2021-03-18,47.0
2021-03-19,47.0
2021-03-22,46.9
2021-03-23,45.5
2021-03-24,44.0
2021-03-25,44.2
2021-03-26,43.9
2021-03-29,44.8
2021-03-30,44.8
2021-03-31,44.4
2021-04-01,44.8
2021-04-02,44.7
2021-04-05,45.0
2021-04-06,44.45
2021-04-07,45.0
2021-04-08,45.0
2021-04-09,44.95
2021-04-12,46.9
2021-04-13,45.6
2021-04-14,45.6
2021-04-15,45.0
2021-04-16,43.85
2021-04-19,43.85
2021-04-20,44.6
2021-04-22,43.5
2021-04-23,43.9
2021-04-26,43.0
2021-04-27,42.5
2021-04-28,42.25
2021-04-29,40.5
2021-05-04,40.0
2021-05-05,40.9
2021-05-06,39.9
2021-05-07,40.7
2021-05-10,39.2
2021-05-11,39.7
2021-05-12,39.6
2021-05-13,39.1
2021-05-14,39.3
2021-05-17,38.8
2021-05-18,37.8
2021-05-19,36.8
2021-05-20,34.55
2021-05-21,36.6
2021-05-24,37.5
2021-05-25,37.5
2021-05-26,36.75
2021-05-27,35.95
2021-05-28,35.75
2021-05-31,35.9
2021-06-01,36.15
2021-06-02,36.1
2021-06-03,36.2
2021-06-04,37.0
2021-06-07,37.95
2021-06-08,37.5
2021-06-09,37.2
2021-06-10,36.8
2021-06-11,36.4
2021-06-14,35.6
2021-06-15,36.1
2021-06-16,37.0
2021-06-17,36.7
2021-06-18,36.9
2021-06-21,39.45
2021-06-22,41.9
2021-06-23,39.0
2021-06-24,37.55
2021-06-25,38.0
2021-06-28,37.55
2021-06-29,37.95
2021-06-30,38.0
2021-07-01,37.7
2021-07-02,37.55
2021-07-05,36.65
2021-07-06,36.0
2021-07-07,35.45
2021-07-08,35.5
2021-07-09,35.1
2021-07-12,33.5
2021-07-13,33.45
2021-07-14,33.2
2021-07-15,33.5
2021-07-16,33.75
2021-07-19,32.6
2021-07-20,33.0
2021-07-21,33.0
2021-07-22,33.6
2021-07-23,33.4
2021-07-26,33.5
2021-07-27,33.25
2021-07-28,33.3
2021-07-29,33.5
2021-07-30,34.6
2021-08-02,36.7
2021-08-03,36.3
2021-08-04,35.6
2021-08-05,36.15
2021-08-06,35.8
2021-08-09,36.5
2021-08-10,36.5
2021-08-11,37.65
2021-08-12,40.25
2021-08-13,39.8
2021-08-16,40.5
2021-08-17,39.9
2021-08-18,40.05
2021-08-19,41.4
2021-08-20,41.5
2021-08-23,44.4
2021-08-24,43.0
2021-08-25,42.0
2021-08-26,41.1
2021-08-27,43.6
2021-08-30,43.6
2021-08-31,43.3
2021-09-01,43.65
2021-09-06,44.2
2021-09-07,43.0
2021-09-08,41.9
2021-09-09,42.9
2021-09-10,44.35
2021-09-13,44.9
2021-09-14,45.5
2021-09-15,45.6
2021-09-16,46.9
2021-09-17,47.0
2021-09-20,47.2
2021-09-21,46.5
2021-09-22,46.6
2021-09-23,45.1
2021-09-24,43.8
2021-09-27,41.5
2021-09-28,42.6
2021-09-29,42.4
2021-09-30,42.6
2021-10-01,42.5
2021-10-04,42.3
2021-10-05,42.6
2021-10-06,43.6
2021-10-07,43.8
2021-10-08,46.1
2021-10-11,46.45
2021-10-12,46.3
2021-10-13,45.5
2021-10-14,48.4
2021-10-15,51.7
2021-10-18,54.5
2021-10-19,56.4
2021-10-20,58.5
2021-10-21,59.0
2021-10-22,58.9
2021-10-25,63.0
2021-10-26,63.0
2021-10-27,62.2
2021-10-28,66.0
2021-10-29,70.6
2021-11-01,74.0
2021-11-02,72.1
2021-11-03,67.1
2021-11-04,68.5
2021-11-05,66.8
2021-11-08,63.5
2021-11-09,61.6
2021-11-10,64.5
2021-11-11,63.0
2021-11-12,61.9
2021-11-15,59.0
2021-11-16,63.1
2021-11-17,63.6
2021-11-18,62.2
2021-11-19,58.7
2021-11-22,57.4
2021-11-23,60.0
2021-11-24,64.2
2021-11-25,66.8
2021-11-26,64.3
2021-11-29,63.9
2021-11-30,65.5
2021-12-01,70.0
2021-12-02,72.0
2021-12-03,70.5
2021-12-06,40.5
2021-12-07,39.4
2021-12-08,38.2
2021-12-09,40.2
2021-12-10,41.85
2021-12-13,44.75
2021-12-14,45.6
2021-12-15,44.2
2021-12-16,46.1
2021-12-17,47.8
2021-12-20,46.7
2021-12-21,46.0
2021-12-22,47.95
2021-12-23,47.55
2021-12-24,47.2
2021-12-27,45.8
2021-12-28,46.15
2021-12-29,44.6
2021-12-30,45.3
2021-12-31,45.0
2022-01-04,45.7
2022-01-05,46.4
2022-01-06,49.6
2022-01-07,51.9
2022-01-10,49.5
2022-01-11,47.5
2022-01-12,44.9
2022-01-13,43.7
2022-01-14,45.0
2022-01-17,42.5
2022-01-18,41.7
2022-01-19,42.1
2022-01-20,44.05
2022-01-21,44.2
2022-01-24,43.0
2022-01-25,44.2
2022-01-26,43.7
2022-01-27,43.5
2022-01-28,44.4
2022-02-07,45.0
2022-02-08,44.5
2022-02-09,47.5
2022-02-10,47.85
2022-02-11,47.45
2022-02-14,46.6
2022-02-15,47.1
2022-02-16,48.55
2022-02-17,48.8
2022-02-18,49.05
2022-02-21,49.5
2022-02-22,48.5
2022-02-23,48.65
2022-02-24,46.5
2022-02-25,46.7
2022-02-28,46.1
2022-03-01,47.4
2022-03-02,47.0
2022-03-03,46.5
2022-03-04,47.05
2022-03-07,46.25
2022-03-08,45.3
2022-03-09,44.85
2022-03-10,45.0
2022-03-11,43.9
2022-03-14,45.05
2022-03-15,48.0
2022-03-16,47.45
2022-03-17,48.8
2022-03-18,52.2
2022-03-21,54.3
2022-03-22,56.4
2022-03-23,55.2
2022-03-24,56.5
2022-03-25,56.0
2022-03-28,58.2
2022-03-29,58.2
2022-03-30,55.3
2022-03-31,55.9
2022-04-01,57.7
2022-04-04,57.5
2022-04-05,56.1
2022-04-06,56.0
