,price
2020-01-02,8.0
2020-01-03,8.0
2020-01-06,8.0
2020-01-07,8.0
2020-01-08,8.0
2020-01-09,8.0
2020-01-10,7.99
2020-01-13,7.9
2020-01-14,7.5
2020-01-15,8.0
2020-01-16,7.9
2020-01-17,7.9
2020-01-20,7.9
2020-01-21,7.9
2020-01-22,7.9
2020-01-30,7.8
2020-01-31,7.8
2020-02-03,7.8
2020-02-04,7.8
2020-02-05,7.8
2020-02-06,7.8
2020-02-07,7.8
2020-02-10,7.8
2020-02-11,7.6
2020-02-12,7.4
2020-02-13,7.4
2020-02-14,7.4
2020-02-17,7.8
2020-02-18,7.8
2020-02-19,7.8
2020-02-20,8.3
2020-02-21,7.72
2020-02-24,7.72
2020-02-25,7.18
2020-02-26,6.7
2020-02-27,7.16
2020-02-28,6.66
2020-03-02,7.12
2020-03-03,7.6
2020-03-04,7.6
2020-03-05,7.6
2020-03-06,7.5
2020-03-09,7.5
2020-03-10,6.98
2020-03-11,7.45
2020-03-12,7.55
2020-03-13,7.03
2020-03-16,7.0
2020-03-17,6.97
2020-03-18,6.97
2020-03-19,6.97
2020-03-20,6.89
2020-03-23,6.89
2020-03-24,6.41
2020-03-25,6.41
2020-03-26,6.41
2020-03-27,6.3
2020-03-30,6.3
2020-03-31,6.63
2020-04-01,6.63
2020-04-03,6.63
2020-04-06,6.63
2020-04-07,6.17
2020-04-08,5.74
2020-04-09,6.1
2020-04-10,6.09
2020-04-13,6.09
2020-04-14,5.68
2020-04-15,5.5
2020-04-16,5.5
2020-04-17,5.75
2020-04-20,5.38
2020-04-21,5.72
2020-04-22,5.32
2020-04-23,5.05
2020-04-24,5.37
2020-04-27,5.59
2020-04-28,5.3
2020-04-29,5.67
2020-05-04,5.6
2020-05-05,5.89
2020-05-06,5.8
2020-05-07,5.41
2020-05-08,5.41
2020-05-11,5.75
2020-05-12,5.7
2020-05-13,5.7
2020-05-14,5.7
2020-05-15,5.7
2020-05-18,5.7
2020-05-19,5.9
2020-05-20,5.9
2020-05-21,5.9
2020-05-22,5.5
2020-05-25,5.5
2020-05-26,5.5
2020-05-27,5.8
2020-05-28,5.9
2020-05-29,5.51
2020-06-01,5.89
2020-06-02,5.8
2020-06-03,6.18
2020-06-04,5.9
2020-06-05,5.7
2020-06-08,5.99
2020-06-09,5.7
2020-06-10,5.7
2020-06-11,5.51
2020-06-12,5.89
2020-06-15,6.1
2020-06-16,5.7
2020-06-17,5.8
2020-06-18,5.98
2020-06-19,5.98
2020-06-22,5.93
2020-06-23,5.79
2020-06-24,5.79
2020-06-25,5.79
2020-06-26,5.79
2020-06-29,5.79
2020-06-30,5.79
2020-07-01,5.79
2020-07-02,5.79
2020-07-03,5.58
2020-07-06,5.58
2020-07-07,5.41
2020-07-08,5.41
2020-07-09,5.41
2020-07-10,5.41
2020-07-13,5.41
2020-07-14,5.41
2020-07-15,5.41
2020-07-16,5.41
2020-07-17,5.7
2020-07-20,5.6
2020-07-21,5.6
2020-07-22,5.6
2020-07-23,5.5
2020-07-24,5.5
2020-07-27,5.5
2020-07-28,5.33
2020-07-29,5.33
2020-07-30,5.49
2020-07-31,5.49
2020-08-03,5.4
2020-08-04,5.4
2020-08-05,5.6
2020-08-06,5.9
2020-08-07,5.9
2020-08-10,6.2
2020-08-11,6.2
2020-08-12,6.15
2020-08-13,6.15
2020-08-14,6.0
2020-08-17,5.6
2020-08-18,5.6
2020-08-19,5.6
2020-08-20,5.99
2020-08-21,6.2
2020-08-24,6.2
2020-08-25,6.63
2020-08-26,6.63
2020-08-27,6.8
2020-08-28,6.8
2020-08-31,6.33
2020-09-01,5.89
2020-09-03,5.89
2020-09-04,5.6
2020-09-07,5.92
2020-09-08,5.53
2020-09-09,5.53
2020-09-10,5.9
2020-09-11,5.89
2020-09-14,5.89
2020-09-15,5.76
2020-09-16,6.0
2020-09-17,6.0
2020-09-18,6.4
2020-09-21,6.3
2020-09-22,6.3
2020-09-23,6.2
2020-09-24,5.86
2020-09-25,5.95
2020-09-28,6.0
2020-09-29,6.0
2020-09-30,6.0
2020-10-01,5.96
2020-10-02,5.65
2020-10-05,6.04
2020-10-06,6.4
2020-10-07,6.4
2020-10-08,5.96
2020-10-09,5.6
2020-10-12,5.6
2020-10-13,5.99
2020-10-14,6.0
2020-10-15,6.42
2020-10-16,6.8
2020-10-19,6.88
2020-10-20,6.9
2020-10-21,6.51
2020-10-22,6.1
2020-10-23,6.52
2020-10-26,6.1
2020-10-27,6.5
2020-10-28,6.95
2020-10-29,7.43
2020-10-30,7.1
2020-11-02,7.59
2020-11-03,7.8
2020-11-04,7.41
2020-11-05,7.92
2020-11-06,7.81
2020-11-09,8.33
2020-11-10,8.3
2020-11-11,7.73
2020-11-12,7.77
2020-11-13,8.3
2020-11-16,7.73
2020-11-17,7.8
2020-11-18,8.34
2020-11-19,8.34
2020-11-20,7.76
2020-11-23,7.76
2020-11-25,7.52
2020-11-26,7.52
2020-11-27,7.52
2020-11-30,7.52
2020-12-01,8.04
2020-12-02,8.04
2020-12-03,7.48
2020-12-04,8.0
2020-12-07,8.0
2020-12-08,8.0
2020-12-09,7.88
2020-12-10,7.88
2020-12-11,7.34
2020-12-14,7.85
2020-12-15,7.85
2020-12-16,7.79
2020-12-17,7.79
2020-12-18,8.3
2020-12-21,8.0
2020-12-22,8.56
2020-12-23,8.22
2020-12-24,8.03
2020-12-25,7.7
2020-12-28,8.23
2020-12-29,8.8
2020-12-30,8.21
2020-12-31,8.68
2021-01-04,8.68
2021-01-05,8.78
2021-01-06,8.78
2021-01-07,8.78
2021-01-08,8.78
2021-01-11,8.78
2021-01-12,8.78
2021-01-13,8.78
2021-01-14,8.18
2021-01-15,8.75
2021-01-18,8.84
2021-01-19,9.45
2021-01-20,8.79
2021-01-21,8.3
2021-01-22,8.3
2021-01-25,8.3
2021-01-26,8.88
2021-01-27,8.88
2021-01-28,8.27
2021-01-29,8.84
2021-02-01,8.23
2021-02-02,8.7
2021-02-03,8.3
2021-02-04,8.3
2021-02-05,8.3
2021-02-09,8.3
2021-02-17,8.3
2021-02-18,8.88
2021-02-19,8.32
2021-02-22,8.9
2021-02-23,9.4
2021-02-24,8.91
2021-02-25,9.53
2021-02-26,10.0
2021-03-01,9.52
2021-03-02,10.0
2021-03-03,9.6
2021-03-04,9.61
2021-03-05,10.25
2021-03-08,10.95
2021-03-09,10.95
2021-03-10,11.0
2021-03-11,10.5
2021-03-12,10.65
