,price
2020-01-02,20.95
2020-01-03,20.5
2020-01-06,20.0
2020-01-07,19.9
2020-01-08,19.9
2020-01-09,20.2
2020-01-10,20.2
2020-01-13,20.2
2020-01-14,20.3
2020-01-15,20.0
2020-01-16,19.0
2020-01-17,18.9
2020-01-20,19.7
2020-01-21,19.7
2020-01-22,19.0
2020-01-30,19.85
2020-01-31,18.7
2020-02-03,18.55
2020-02-04,18.55
2020-02-05,18.95
2020-02-06,19.15
2020-02-07,19.5
2020-02-10,19.0
2020-02-11,18.9
2020-02-12,19.8
2020-02-13,19.35
2020-02-14,19.35
2020-02-17,18.6
2020-02-18,19.0
2020-02-19,19.0
2020-02-20,19.3
2020-02-21,18.5
2020-02-24,18.5
2020-02-25,18.5
2020-02-26,18.8
2020-02-27,18.8
2020-02-28,18.0
2020-03-02,18.0
2020-03-03,18.8
2020-03-04,19.2
2020-03-05,18.85
2020-03-06,18.65
2020-03-09,18.3
2020-03-10,18.3
2020-03-11,17.3
2020-03-12,16.1
2020-03-13,16.0
2020-03-16,16.0
2020-03-17,16.6
2020-03-18,17.15
2020-03-19,17.0
2020-03-20,17.0
2020-03-23,16.4
2020-03-24,17.25
2020-03-25,17.0
2020-03-26,17.0
2020-03-27,16.0
2020-03-30,16.4
2020-03-31,16.6
2020-04-01,16.9
2020-04-03,16.9
2020-04-06,17.0
2020-04-07,16.5
2020-04-08,16.6
2020-04-09,17.1
2020-04-10,16.9
2020-04-13,16.5
2020-04-14,16.7
2020-04-15,16.0
2020-04-16,16.0
2020-04-17,15.9
2020-04-20,15.9
2020-04-21,15.85
2020-04-22,15.7
2020-04-23,16.0
2020-04-24,15.2
2020-04-27,16.0
2020-04-28,15.95
2020-04-29,16.2
2020-05-04,16.5
2020-05-05,15.8
2020-05-06,16.1
2020-05-07,16.3
2020-05-08,16.5
2020-05-11,16.7
2020-05-12,16.7
2020-05-13,17.0
2020-05-14,16.0
2020-05-15,16.5
2020-05-18,17.0
2020-05-19,16.9
2020-05-20,16.9
2020-05-21,16.5
2020-05-22,16.5
2020-05-25,17.2
2020-05-26,17.9
2020-05-27,17.9
2020-05-28,17.0
2020-05-29,17.0
2020-06-01,17.5
2020-06-02,16.9
2020-06-03,17.5
2020-06-04,17.5
2020-06-05,17.4
2020-06-08,17.2
2020-06-09,18.2
2020-06-10,17.6
2020-06-11,18.8
2020-06-12,19.25
2020-06-15,19.0
2020-06-16,19.2
2020-06-17,19.0
2020-06-18,17.8
2020-06-19,18.0
2020-06-22,18.0
2020-06-23,17.9
2020-06-24,18.0
2020-06-25,18.5
2020-06-26,18.7
2020-06-29,18.0
2020-06-30,18.3
2020-07-01,18.3
2020-07-02,18.5
2020-07-03,18.5
2020-07-06,18.5
2020-07-07,18.0
2020-07-08,18.4
2020-07-09,18.35
2020-07-10,18.0
2020-07-13,18.1
2020-07-14,18.1
2020-07-15,18.2
2020-07-16,18.2
2020-07-17,18.2
2020-07-20,18.2
2020-07-21,18.25
2020-07-22,18.25
2020-07-23,18.3
2020-07-24,18.25
2020-07-27,18.2
2020-07-28,18.3
2020-07-29,18.2
2020-07-30,18.2
2020-07-31,18.35
2020-08-03,18.7
2020-08-04,18.5
2020-08-05,18.5
2020-08-06,18.6
2020-08-07,18.3
2020-08-10,18.85
2020-08-11,19.9
2020-08-12,20.45
2020-08-13,20.4
2020-08-14,20.0
2020-08-17,19.95
2020-08-18,19.95
2020-08-19,19.95
2020-08-20,19.4
2020-08-21,19.95
2020-08-24,19.7
2020-08-25,20.45
2020-08-26,20.0
2020-08-27,20.3
2020-08-28,21.0
2020-08-31,21.6
2020-09-01,22.1
2020-09-03,22.1
2020-09-04,22.2
2020-09-07,21.6
2020-09-08,21.7
2020-09-09,21.75
2020-09-10,21.5
2020-09-11,21.6
2020-09-14,22.2
2020-09-15,21.9
2020-09-16,22.0
2020-09-17,21.8
2020-09-18,23.0
2020-09-21,22.5
2020-09-22,22.2
2020-09-23,22.4
2020-09-24,22.25
2020-09-25,22.3
2020-09-28,22.3
2020-09-29,22.5
2020-09-30,22.2
2020-10-01,22.2
2020-10-02,22.45
2020-10-05,21.8
2020-10-06,21.8
2020-10-07,22.25
2020-10-08,23.0
2020-10-09,22.8
2020-10-12,22.9
2020-10-13,22.3
2020-10-14,23.85
2020-10-15,24.0
2020-10-16,23.85
2020-10-19,24.1
2020-10-20,23.35
2020-10-21,23.7
2020-10-22,23.5
2020-10-23,23.6
2020-10-26,24.8
2020-10-27,25.9
2020-10-28,24.6
2020-10-29,23.8
2020-10-30,24.1
2020-11-02,24.5
2020-11-03,24.5
2020-11-04,26.2
2020-11-05,26.25
2020-11-06,26.35
2020-11-09,26.0
