,price
2020-01-02,34.3
2020-01-03,34.1
2020-01-06,33.5
2020-01-07,33.45
2020-01-08,32.5
2020-01-09,32.6
2020-01-10,32.6
2020-01-13,32.6
2020-01-14,32.2
2020-01-15,31.85
2020-01-16,33.0
2020-01-17,32.55
2020-01-20,32.15
2020-01-21,32.75
2020-01-22,32.8
2020-01-30,30.55
2020-01-31,28.45
2020-02-03,27.0
2020-02-04,26.7
2020-02-05,26.5
2020-02-06,26.4
2020-02-07,28.0
2020-02-10,27.3
2020-02-11,27.2
2020-02-12,27.9
2020-02-13,27.5
2020-02-14,27.25
2020-02-17,26.65
2020-02-18,26.9
2020-02-19,26.9
2020-02-20,27.0
2020-02-21,26.9
2020-02-24,25.05
2020-02-25,23.9
2020-02-26,23.1
2020-02-27,23.5
2020-02-28,23.0
2020-03-02,22.2
2020-03-03,22.7
2020-03-04,24.25
2020-03-05,25.8
2020-03-06,24.95
2020-03-09,23.25
2020-03-10,23.0
2020-03-11,22.55
2020-03-12,21.0
2020-03-13,20.8
2020-03-16,20.6
2020-03-17,21.2
2020-03-18,20.8
2020-03-19,19.9
2020-03-20,19.9
2020-03-23,18.55
2020-03-24,18.3
2020-03-25,19.3
2020-03-26,19.35
2020-03-27,19.3
2020-03-30,18.1
2020-03-31,17.8
2020-04-01,18.5
2020-04-03,19.3
2020-04-06,20.65
2020-04-07,20.3
2020-04-08,19.8
2020-04-09,20.65
2020-04-10,22.05
2020-04-13,23.55
2020-04-14,23.45
2020-04-15,24.2
2020-04-16,24.35
2020-04-17,25.85
2020-04-20,27.65
2020-04-21,27.2
2020-04-22,27.2
2020-04-23,27.8
2020-04-24,27.35
2020-04-27,26.55
2020-04-28,26.1
2020-04-29,26.9
2020-05-04,26.1
2020-05-05,26.0
2020-05-06,26.4
2020-05-07,26.7
2020-05-08,26.95
2020-05-11,26.9
2020-05-12,26.95
2020-05-13,27.95
2020-05-14,27.7
2020-05-15,27.35
2020-05-18,26.85
2020-05-19,27.05
2020-05-20,27.25
2020-05-21,27.3
2020-05-22,26.9
2020-05-25,26.8
2020-05-26,27.35
2020-05-27,28.0
2020-05-28,27.8
2020-05-29,27.5
2020-06-01,27.7
2020-06-02,27.45
2020-06-03,27.35
2020-06-04,27.85
2020-06-05,28.25
2020-06-08,28.75
2020-06-09,30.15
2020-06-10,29.9
2020-06-11,28.0
2020-06-12,27.8
2020-06-15,27.2
2020-06-16,28.0
2020-06-17,27.95
2020-06-18,27.55
2020-06-19,27.35
2020-06-22,27.0
2020-06-23,27.1
2020-06-24,27.0
2020-06-25,26.7
2020-06-26,26.3
2020-06-29,24.9
2020-06-30,25.1
2020-07-01,25.7
2020-07-02,25.6
2020-07-03,25.9
2020-07-06,26.0
2020-07-07,26.25
2020-07-08,26.3
2020-07-09,26.6
2020-07-10,26.4
2020-07-13,26.25
2020-07-14,26.4
2020-07-15,26.45
2020-07-16,26.35
2020-07-17,26.2
2020-07-20,26.0
2020-07-21,25.9
2020-07-22,25.8
2020-07-23,25.8
2020-07-24,24.35
2020-07-27,22.65
2020-07-28,23.0
2020-07-29,21.65
2020-07-30,22.0
2020-07-31,21.7
2020-08-03,22.3
2020-08-04,23.05
2020-08-05,24.0
2020-08-06,23.75
2020-08-07,23.65
2020-08-10,23.65
