,price
2020-01-02,20.3
2020-01-03,20.4
2020-01-06,20.4
2020-01-07,20.25
2020-01-08,20.3
2020-01-09,20.35
2020-01-10,20.4
2020-01-13,20.2
2020-01-14,20.4
2020-01-15,20.4
2020-01-16,20.4
2020-01-17,20.45
2020-01-20,20.4
2020-01-21,20.4
2020-01-22,20.45
2020-01-30,20.5
2020-01-31,20.5
2020-02-03,20.3
2020-02-04,20.3
2020-02-05,20.3
2020-02-06,20.25
2020-02-07,20.8
2020-02-10,20.8
2020-02-11,20.85
2020-02-12,21.2
2020-02-13,21.1
2020-02-14,21.0
2020-02-17,20.9
2020-02-18,20.9
2020-02-19,21.0
2020-02-20,21.0
2020-02-21,20.9
2020-02-24,20.8
2020-02-25,20.8
2020-02-26,20.8
2020-02-27,20.95
2020-02-28,20.85
2020-03-02,20.8
2020-03-03,20.75
2020-03-04,20.8
2020-03-05,20.75
2020-03-06,20.4
2020-03-09,20.3
2020-03-10,20.7
2020-03-11,20.8
2020-03-12,20.7
2020-03-13,20.9
2020-03-16,20.9
2020-03-17,20.9
2020-03-18,20.9
2020-03-19,20.9
2020-03-20,20.9
2020-03-23,20.9
2020-03-24,21.0
2020-03-25,21.5
2020-03-26,21.6
2020-03-27,21.75
2020-03-30,21.75
2020-03-31,21.75
2020-04-01,21.75
2020-04-03,21.8
2020-04-06,21.9
2020-04-07,22.0
2020-04-08,21.2
2020-04-09,21.5
2020-04-10,21.7
2020-04-13,21.85
2020-04-14,21.9
2020-04-15,21.8
2020-04-16,21.7
2020-04-17,21.7
2020-04-20,20.9
2020-04-21,20.45
2020-04-22,20.4
2020-04-23,20.4
2020-04-24,20.4
2020-04-27,20.4
2020-04-28,20.4
2020-04-29,20.35
2020-05-04,20.15
2020-05-05,20.15
2020-05-06,20.15
2020-05-07,20.15
2020-05-08,20.1
2020-05-11,20.1
2020-05-12,20.15
2020-05-13,21.0
2020-05-14,21.0
2020-05-15,20.9
2020-05-18,21.5
2020-05-19,21.6
2020-05-20,21.8
2020-05-21,22.0
2020-05-22,22.0
2020-05-25,22.0
2020-05-26,21.95
2020-05-27,22.1
2020-05-28,23.5
2020-05-29,23.3
2020-06-01,23.0
2020-06-02,22.8
2020-06-03,22.4
2020-06-04,22.4
2020-06-05,22.35
2020-06-08,22.4
2020-06-09,22.3
2020-06-10,23.6
2020-06-11,23.6
2020-06-12,23.6
2020-06-15,23.6
2020-06-16,23.65
2020-06-17,23.3
2020-06-18,23.35
2020-06-19,23.5
2020-06-22,23.7
2020-06-23,23.9
2020-06-24,23.9
2020-06-25,23.8
2020-06-26,23.8
2020-06-29,23.75
2020-06-30,23.7
2020-07-01,23.8
2020-07-02,23.9
2020-07-03,23.95
2020-07-06,23.9
2020-07-07,23.95
2020-07-08,23.9
2020-07-09,23.9
2020-07-10,23.85
2020-07-13,23.9
2020-07-14,24.0
2020-07-15,24.0
2020-07-16,24.0
2020-07-17,23.9
2020-07-20,22.3
2020-07-21,23.85
2020-07-22,24.0
2020-07-23,23.85
2020-07-24,23.5
2020-07-27,23.4
2020-07-28,23.5
2020-07-29,23.7
2020-07-30,23.75
2020-07-31,23.75
2020-08-03,23.95
2020-08-04,24.05
2020-08-05,23.9
2020-08-06,23.5
2020-08-07,23.25
2020-08-10,23.15
2020-08-11,23.15
2020-08-12,23.2
2020-08-13,23.0
2020-08-14,23.0
2020-08-17,22.9
2020-08-18,22.9
2020-08-19,23.15
