,price
2020-01-02,16.2
2020-01-03,16.3
2020-01-06,16.65
2020-01-07,16.6
2020-01-08,16.6
2020-01-09,16.6
2020-01-10,16.4
2020-01-13,16.4
2020-01-14,16.2
2020-01-15,15.8
2020-01-16,15.2
2020-01-17,15.25
2020-01-20,16.0
2020-01-21,15.9
2020-01-22,15.95
2020-01-30,16.2
2020-01-31,15.7
2020-02-03,15.75
2020-02-04,15.7
2020-02-05,15.5
2020-02-06,15.5
2020-02-07,15.05
2020-02-10,14.6
2020-02-11,15.0
2020-02-12,14.8
2020-02-13,14.9
2020-02-14,15.0
2020-02-17,14.9
2020-02-18,15.2
2020-02-19,15.15
2020-02-20,15.25
2020-02-21,15.35
2020-02-24,14.9
2020-02-25,14.9
2020-02-26,15.0
2020-02-27,15.0
2020-02-28,15.0
2020-03-02,14.9
2020-03-03,14.9
2020-03-04,14.9
2020-03-05,15.0
2020-03-06,14.5
2020-03-09,14.0
2020-03-10,14.1
2020-03-11,14.0
2020-03-12,14.0
2020-03-13,13.6
2020-03-16,13.5
2020-03-17,14.1
2020-03-18,14.1
2020-03-19,14.0
2020-03-20,14.0
2020-03-23,13.9
2020-03-24,13.8
2020-03-25,13.8
2020-03-26,14.1
2020-03-27,14.0
2020-03-30,13.4
2020-03-31,14.0
2020-04-01,14.0
2020-04-03,14.0
2020-04-06,14.0
2020-04-07,14.0
2020-04-08,13.95
2020-04-09,13.7
2020-04-10,13.7
2020-04-13,13.85
2020-04-14,13.5
2020-04-15,13.7
2020-04-16,14.3
2020-04-17,14.5
2020-04-20,15.0
2020-04-21,14.8
2020-04-22,14.5
2020-04-23,14.6
2020-04-24,14.6
2020-04-27,15.4
2020-04-28,14.65
2020-04-29,14.8
2020-05-04,14.7
2020-05-05,14.9
2020-05-06,15.2
2020-05-07,15.2
2020-05-08,15.65
2020-05-11,15.75
2020-05-12,16.7
2020-05-13,16.8
2020-05-14,16.5
2020-05-15,16.5
2020-05-18,16.5
2020-05-19,16.5
2020-05-20,16.3
2020-05-21,16.3
2020-05-22,16.3
2020-05-25,16.8
2020-05-26,17.4
2020-05-27,17.0
2020-05-28,17.0
2020-05-29,17.0
2020-06-01,16.9
2020-06-02,16.8
2020-06-03,16.8
2020-06-04,16.8
2020-06-05,16.6
2020-06-08,16.7
2020-06-09,16.9
2020-06-10,16.9
2020-06-11,16.8
2020-06-12,16.9
2020-06-15,16.95
2020-06-16,17.0
2020-06-17,17.2
2020-06-18,17.0
2020-06-19,17.25
2020-06-22,17.5
2020-06-23,17.35
2020-06-24,17.4
2020-06-25,17.1
2020-06-26,17.45
2020-06-29,17.6
2020-06-30,17.5
2020-07-01,16.0
2020-07-02,15.6
2020-07-03,16.0
2020-07-06,15.9
2020-07-07,15.8
2020-07-08,15.65
2020-07-09,15.6
2020-07-10,15.6
2020-07-13,15.6
2020-07-14,15.65
2020-07-15,15.65
2020-07-16,15.65
2020-07-17,15.6
2020-07-20,15.65
2020-07-21,15.65
2020-07-22,15.8
2020-07-23,15.7
2020-07-24,15.65
2020-07-27,15.1
2020-07-28,15.3
2020-07-29,15.1
2020-07-30,15.1
2020-07-31,15.1
2020-08-03,15.2
2020-08-04,15.5
2020-08-05,15.65
2020-08-06,15.6
2020-08-07,15.5
2020-08-10,15.6
2020-08-11,15.6
2020-08-12,15.7
2020-08-13,15.7
2020-08-14,15.7
2020-08-17,15.85
2020-08-18,16.0
2020-08-19,15.8
2020-08-20,16.5
2020-08-21,16.9
2020-08-24,17.1
2020-08-25,17.15
2020-08-26,16.9
2020-08-27,17.0
2020-08-28,16.9
2020-08-31,17.0
2020-09-01,16.9
2020-09-03,17.0
2020-09-04,16.9
2020-09-07,17.0
2020-09-08,16.9
2020-09-09,16.8
2020-09-10,16.9
2020-09-11,16.8
2020-09-14,16.9
2020-09-15,17.05
2020-09-16,17.05
2020-09-17,17.0
2020-09-18,17.0
2020-09-21,17.0
2020-09-22,17.0
2020-09-23,17.1
2020-09-24,17.0
2020-09-25,16.9
2020-09-28,17.1
2020-09-29,17.0
2020-09-30,16.9
2020-10-01,17.0
2020-10-02,17.0
2020-10-05,17.0
2020-10-06,17.0
2020-10-07,16.95
2020-10-08,17.3
2020-10-09,18.3
2020-10-12,18.3
2020-10-13,18.0
2020-10-14,18.0
2020-10-15,17.6
2020-10-16,17.5
2020-10-19,17.35
2020-10-20,17.2
2020-10-21,17.1
2020-10-22,16.9
2020-10-23,17.4
2020-10-26,17.0
2020-10-27,17.0
2020-10-28,16.7
2020-10-29,16.75
2020-10-30,16.75
2020-11-02,17.2
2020-11-03,17.25
2020-11-04,17.4
2020-11-05,17.4
2020-11-06,18.1
2020-11-09,18.1
2020-11-10,17.8
2020-11-11,17.8
2020-11-12,19.0
2020-11-13,20.3
2020-11-16,21.4
2020-11-17,22.85
2020-11-18,23.2
2020-11-19,23.5
2020-11-20,23.25
2020-11-23,23.2
2020-11-24,24.4
2020-11-25,23.8
2020-11-26,24.15
2020-11-27,24.15
2020-11-30,24.0
2020-12-01,25.65
2020-12-02,27.0
2020-12-03,27.3
2020-12-04,26.95
2020-12-07,26.4
2020-12-08,26.05
2020-12-09,26.4
2020-12-10,26.2
2020-12-11,25.9
2020-12-14,26.0
2020-12-15,27.4
2020-12-16,27.0
2020-12-17,26.6
2020-12-18,26.5
2020-12-21,28.35
2020-12-22,29.7
2020-12-23,28.95
2020-12-24,27.3
2020-12-25,27.9
2020-12-28,27.5
2020-12-29,27.5
2020-12-31,27.0
2021-01-04,27.25
2021-01-05,27.4
2021-01-06,27.0
2021-01-07,27.05
2021-01-08,27.0
2021-01-11,27.3
2021-01-12,28.6
2021-01-13,28.2
2021-01-14,27.55
2021-01-15,27.4
2021-01-18,27.1
2021-01-19,25.8
2021-01-20,25.3
2021-01-21,25.95
2021-01-22,25.7
2021-01-25,25.7
2021-01-26,24.8
2021-01-27,23.5
2021-01-28,21.9
2021-01-29,22.3
2021-02-01,20.75
2021-02-02,21.3
2021-02-03,22.75
2021-02-04,22.5
2021-02-05,23.3
2021-02-08,21.7
2021-02-09,22.9
2021-02-17,22.9
2021-02-18,22.6
2021-02-19,24.15
2021-02-22,25.8
2021-02-23,25.95
2021-02-24,25.0
2021-02-25,24.25
2021-02-26,25.0
2021-03-01,25.7
2021-03-02,26.6
2021-03-03,26.35
2021-03-04,25.6
2021-03-05,26.0
2021-03-08,26.2
2021-03-09,25.7
2021-03-10,26.2
2021-03-11,27.0
2021-03-12,27.5
2021-03-15,27.4
2021-03-16,27.15
2021-03-17,27.4
2021-03-18,27.15
2021-03-19,26.85
2021-03-22,27.2
2021-03-23,28.0
2021-03-24,27.8
2021-03-25,27.85
2021-03-26,27.2
2021-03-29,27.2
2021-03-30,28.2
2021-03-31,28.2
2021-04-01,28.8
2021-04-02,28.6
2021-04-05,27.7
2021-04-06,27.1
2021-04-07,26.75
2021-04-08,26.9
2021-04-09,27.3
2021-04-12,27.2
2021-04-13,26.8
2021-04-14,27.2
2021-04-15,26.9
2021-04-16,26.4
2021-04-19,26.3
2021-04-20,26.3
2021-04-22,25.3
2021-04-23,25.5
2021-04-26,25.4
2021-04-27,24.5
2021-04-28,24.4
2021-04-29,24.4
2021-05-04,23.8
2021-05-05,24.0
2021-05-06,23.8
2021-05-07,23.8
2021-05-10,23.4
2021-05-11,23.5
2021-05-12,23.8
2021-05-13,24.6
2021-05-14,24.65
2021-05-17,23.9
2021-05-18,23.6
2021-05-19,23.6
2021-05-20,23.2
2021-05-21,23.35
2021-05-24,24.2
2021-05-25,24.0
2021-05-26,23.9
2021-05-27,24.0
2021-05-28,24.3
2021-05-31,23.9
2021-06-01,23.6
2021-06-02,23.45
2021-06-03,24.0
2021-06-04,25.6
2021-06-07,25.65
2021-06-08,25.0
2021-06-09,25.2
2021-06-10,25.2
2021-06-11,25.5
2021-06-14,26.45
2021-06-15,26.5
2021-06-16,26.8
2021-06-17,26.85
2021-06-18,27.9
2021-06-21,27.8
2021-06-22,27.95
2021-06-23,27.25
2021-06-24,25.05
2021-06-25,24.8
2021-06-28,24.5
2021-06-29,24.15
2021-06-30,25.5
2021-07-01,26.8
2021-07-02,26.2
2021-07-05,25.4
2021-07-06,25.2
2021-07-07,24.9
2021-07-08,25.5
2021-07-09,25.25
2021-07-12,24.0
2021-07-13,24.7
2021-07-14,24.5
2021-07-15,24.7
2021-07-16,24.7
2021-07-19,25.4
2021-07-20,25.7
2021-07-21,25.55
2021-07-22,27.3
2021-07-23,29.2
2021-07-26,29.4
2021-07-27,28.6
2021-07-28,28.6
2021-07-29,28.8
2021-07-30,29.15
2021-08-02,30.0
2021-08-03,32.1
2021-08-04,31.5
2021-08-05,32.2
2021-08-06,32.0
2021-08-09,33.7
2021-08-10,34.5
2021-08-11,35.65
2021-08-12,33.4
2021-08-13,34.5
2021-08-16,33.5
2021-08-17,32.0
2021-08-18,32.1
2021-08-19,32.05
2021-08-20,31.8
2021-08-23,31.55
2021-08-24,30.3
2021-08-25,30.45
2021-08-26,31.7
2021-08-27,32.4
2021-08-30,32.9
2021-08-31,33.1
2021-09-01,34.6
2021-09-06,34.5
2021-09-07,33.2
2021-09-08,32.8
2021-09-09,33.4
2021-09-10,33.0
2021-09-13,32.6
2021-09-14,32.3
2021-09-15,32.7
2021-09-16,32.6
2021-09-17,34.1
2021-09-20,33.15
2021-09-21,32.5
2021-09-22,33.1
2021-09-23,33.1
2021-09-24,33.0
2021-09-27,32.0
2021-09-28,32.0
2021-09-29,31.8
2021-09-30,32.9
2021-10-01,32.45
2021-10-04,32.8
2021-10-05,32.8
2021-10-06,33.75
2021-10-07,34.2
2021-10-08,35.3
2021-10-11,35.45
2021-10-12,35.6
2021-10-13,34.9
2021-10-14,35.35
2021-10-15,36.1
2021-10-18,35.45
2021-10-19,34.5
2021-10-20,34.4
2021-10-21,35.6
2021-10-22,35.2
2021-10-25,34.55
2021-10-26,35.0
2021-10-27,35.45
2021-10-28,35.35
2021-10-29,35.4
2021-11-01,35.6
2021-11-02,35.6
2021-11-03,35.3
2021-11-04,35.2
2021-11-05,35.4
2021-11-08,37.85
2021-11-09,38.4
2021-11-10,38.8
2021-11-11,38.3
2021-11-12,38.0
2021-11-15,38.0
2021-11-16,38.05
2021-11-17,37.65
2021-11-18,37.0
2021-11-19,35.5
2021-11-22,34.1
2021-11-23,34.2
2021-11-24,34.1
2021-11-25,34.5
2021-11-26,34.35
2021-11-29,34.5
2021-11-30,34.6
2021-12-01,34.75
