,price
2020-01-02,2.8
2020-01-03,2.8
2020-01-06,2.72
2020-01-07,2.73
2020-01-08,2.7
2020-01-09,2.7
2020-01-10,2.66
2020-01-13,2.64
2020-01-14,2.68
2020-01-15,2.65
2020-01-16,2.65
2020-01-17,2.63
2020-01-20,2.6
2020-01-21,2.64
2020-01-22,2.64
2020-01-30,2.56
2020-01-31,2.39
2020-02-03,2.23
2020-02-04,2.19
2020-02-05,2.22
2020-02-06,2.29
2020-02-07,2.25
2020-02-10,2.22
2020-02-11,2.22
2020-02-12,2.26
2020-02-13,2.35
2020-02-14,2.3
2020-02-17,2.26
2020-02-18,2.33
2020-02-19,2.49
2020-02-20,2.45
2020-02-21,2.4
2020-02-24,2.24
2020-02-25,2.26
2020-02-26,2.22
2020-02-27,2.27
2020-02-28,2.22
2020-03-02,2.23
2020-03-03,2.3
2020-03-04,2.37
2020-03-05,2.34
2020-03-06,2.31
2020-03-09,2.15
2020-03-10,2.17
2020-03-11,2.1
2020-03-12,1.98
2020-03-13,2.04
2020-03-16,2.08
2020-03-17,2.14
2020-03-18,2.2
2020-03-19,2.11
2020-03-20,2.1
2020-03-23,1.96
2020-03-24,2.0
2020-03-25,2.08
2020-03-26,1.97
2020-03-27,1.96
2020-03-30,1.83
2020-03-31,1.83
2020-04-01,1.9
2020-04-03,1.92
2020-04-06,1.98
2020-04-07,1.98
2020-04-08,1.93
2020-04-09,1.93
2020-04-10,1.91
2020-04-13,1.91
2020-04-14,1.91
2020-04-15,1.93
2020-04-16,2.06
2020-04-17,2.2
2020-04-20,2.35
2020-04-21,2.35
2020-04-22,2.34
2020-04-23,2.23
2020-04-24,2.27
2020-04-27,2.42
2020-04-28,2.46
2020-04-29,2.42
2020-05-04,2.58
2020-05-05,2.61
2020-05-06,2.58
2020-05-07,2.58
2020-05-08,2.57
2020-05-11,2.58
2020-05-12,2.61
2020-05-13,2.71
2020-05-14,2.73
2020-05-15,2.63
2020-05-18,2.67
2020-05-19,2.61
2020-05-20,2.63
2020-05-21,2.61
2020-05-22,2.62
2020-05-25,2.8
2020-05-26,2.99
2020-05-27,3.19
2020-05-28,3.41
2020-05-29,3.64
2020-06-01,3.89
2020-06-02,3.8
2020-06-03,4.06
2020-06-04,4.34
2020-06-05,4.64
2020-06-08,4.96
2020-06-09,5.3
2020-06-10,5.67
2020-06-11,5.6
2020-06-12,5.99
2020-06-15,6.09
2020-06-16,5.73
2020-06-17,5.33
2020-06-18,4.96
2020-06-19,5.3
2020-06-22,5.67
2020-06-23,5.29
2020-06-24,4.92
2020-06-25,5.26
2020-06-26,5.05
2020-06-29,4.7
2020-06-30,4.38
2020-07-01,4.68
2020-07-02,4.73
2020-07-03,4.55
2020-07-06,4.61
2020-07-07,4.45
2020-07-08,4.47
2020-07-09,4.78
2020-07-10,4.8
2020-07-13,4.75
2020-07-14,4.73
2020-07-15,4.72
2020-07-16,4.61
2020-07-17,4.69
2020-07-20,4.9
2020-07-21,4.83
2020-07-22,4.74
2020-07-23,4.58
2020-07-24,4.32
2020-07-27,4.02
