,price
2020-01-02,9.5
2020-01-03,9.5
2020-01-06,9.5
2020-01-07,9.6
2020-01-08,9.6
2020-01-09,9.6
2020-01-10,9.6
2020-01-13,9.5
2020-01-14,9.4
2020-01-15,9.4
2020-01-16,9.4
2020-01-17,9.4
2020-01-20,10.0
2020-01-21,9.9
2020-01-22,9.8
2020-01-30,9.8
2020-01-31,9.5
2020-02-03,9.0
2020-02-04,9.0
2020-02-05,9.0
2020-02-06,8.85
2020-02-07,9.0
2020-02-10,9.1
2020-02-11,9.1
2020-02-12,9.0
2020-02-13,8.95
2020-02-14,8.99
2020-02-17,9.0
2020-02-18,9.2
2020-02-19,9.21
2020-02-20,9.2
2020-02-21,9.2
2020-02-24,9.2
2020-02-25,9.2
2020-02-26,9.2
2020-02-27,9.2
2020-02-28,9.15
2020-03-02,9.1
2020-03-03,9.0
2020-03-04,9.0
2020-03-05,8.9
2020-03-06,9.0
2020-03-09,8.5
2020-03-10,8.5
2020-03-11,8.43
2020-03-12,7.84
2020-03-13,7.8
2020-03-16,7.75
2020-03-17,7.75
2020-03-18,7.88
2020-03-19,7.86
2020-03-20,7.8
2020-03-23,7.26
2020-03-24,7.3
2020-03-25,7.67
2020-03-26,7.5
2020-03-27,7.5
2020-03-30,7.4
2020-03-31,7.3
2020-04-01,7.3
2020-04-03,7.5
2020-04-06,7.55
2020-04-07,7.9
2020-04-08,7.89
2020-04-09,7.85
2020-04-10,7.85
2020-04-13,7.91
2020-04-14,7.94
2020-04-15,8.3
2020-04-16,8.68
2020-04-17,8.67
2020-04-20,8.45
2020-04-21,8.33
2020-04-22,8.3
2020-04-23,8.3
2020-04-24,8.3
2020-04-27,8.28
2020-04-28,8.2
2020-04-29,8.2
2020-05-04,8.2
2020-05-05,8.2
2020-05-06,8.32
2020-05-07,8.5
2020-05-08,8.48
2020-05-11,8.48
2020-05-12,8.24
2020-05-13,8.24
2020-05-14,8.24
2020-05-15,8.45
2020-05-18,8.9
2020-05-19,8.7
2020-05-20,8.59
2020-05-21,8.6
2020-05-22,8.47
2020-05-25,8.45
2020-05-26,8.45
2020-05-27,8.48
2020-05-28,8.5
2020-05-29,8.6
2020-06-01,9.12
2020-06-02,8.71
2020-06-03,9.2
2020-06-04,9.1
2020-06-05,8.8
2020-06-08,9.0
2020-06-09,9.3
2020-06-10,9.3
2020-06-11,9.02
2020-06-12,8.7
2020-06-15,8.9
2020-06-16,9.1
2020-06-17,9.1
2020-06-18,9.49
2020-06-19,9.46
2020-06-22,9.46
2020-06-23,9.4
2020-06-24,9.3
2020-06-25,9.29
2020-06-26,9.28
2020-06-29,9.21
2020-06-30,9.2
2020-07-01,9.25
2020-07-02,9.24
2020-07-03,9.22
2020-07-06,9.1
2020-07-07,9.2
2020-07-08,9.1
2020-07-09,9.1
2020-07-10,9.2
2020-07-13,9.2
2020-07-14,9.15
2020-07-15,9.2
2020-07-16,9.2
2020-07-17,9.15
2020-07-20,9.1
2020-07-21,9.0
2020-07-22,9.15
2020-07-23,9.2
2020-07-24,9.08
2020-07-27,9.02
2020-07-28,9.02
2020-07-29,9.06
2020-07-30,8.62
2020-07-31,8.99
2020-08-03,8.94
2020-08-04,9.0
2020-08-05,9.0
2020-08-06,8.97
2020-08-07,8.99
2020-08-10,9.0
2020-08-11,8.8
2020-08-12,8.9
2020-08-13,8.91
2020-08-14,9.0
2020-08-17,8.99
2020-08-18,8.95
2020-08-19,8.99
2020-08-20,8.99
2020-08-21,8.95
2020-08-24,8.95
2020-08-25,8.95
2020-08-26,9.1
2020-08-27,9.69
2020-08-28,9.64
2020-08-31,9.2
2020-09-01,9.45
2020-09-03,9.4
2020-09-04,9.49
2020-09-07,9.49
2020-09-08,9.65
