,price
2020-01-02,15.2
2020-01-03,15.3
2020-01-06,15.1
2020-01-07,14.95
2020-01-08,15.2
2020-01-09,15.35
2020-01-10,15.4
2020-01-13,15.3
2020-01-14,16.35
2020-01-15,16.0
2020-01-16,15.8
2020-01-17,15.8
2020-01-20,15.15
2020-01-21,15.2
2020-01-22,15.3
2020-01-30,14.85
2020-01-31,14.5
2020-02-03,14.6
2020-02-04,14.9
2020-02-05,14.8
2020-02-06,14.8
2020-02-07,14.65
2020-02-10,14.9
2020-02-11,14.85
2020-02-12,14.95
2020-02-13,15.0
2020-02-14,14.9
2020-02-17,14.6
2020-02-18,14.6
2020-02-19,15.0
2020-02-20,14.95
2020-02-21,15.0
2020-02-24,14.5
2020-02-25,14.65
2020-02-26,14.6
2020-02-27,14.55
2020-02-28,14.0
2020-03-02,14.55
2020-03-03,14.9
2020-03-04,14.85
2020-03-05,14.9
2020-03-06,14.7
2020-03-09,13.7
2020-03-10,13.45
2020-03-11,13.45
2020-03-12,12.55
2020-03-13,12.4
2020-03-16,12.0
2020-03-17,12.0
2020-03-18,11.6
2020-03-19,11.3
2020-03-20,11.1
2020-03-23,10.35
2020-03-24,10.45
2020-03-25,11.15
2020-03-26,11.1
2020-03-27,11.1
2020-03-30,11.05
2020-03-31,11.1
2020-04-01,11.75
2020-04-03,11.8
2020-04-06,12.4
2020-04-07,12.15
2020-04-08,11.95
2020-04-09,11.9
2020-04-10,11.95
2020-04-13,11.85
2020-04-14,11.5
2020-04-15,11.95
2020-04-16,11.9
2020-04-17,12.1
2020-04-20,12.7
2020-04-21,11.85
2020-04-22,11.85
2020-04-23,12.0
2020-04-24,12.0
2020-04-27,12.8
2020-04-28,13.05
2020-04-29,12.7
2020-05-04,12.35
2020-05-05,12.9
2020-05-06,12.7
2020-05-07,12.8
2020-05-08,12.85
2020-05-11,13.1
2020-05-12,13.3
2020-05-13,13.1
2020-05-14,13.05
2020-05-15,12.85
2020-05-18,12.9
2020-05-19,13.15
2020-05-20,13.05
2020-05-21,13.0
2020-05-22,12.85
2020-05-25,13.7
2020-05-26,14.25
2020-05-27,13.9
2020-05-28,13.85
2020-05-29,14.05
2020-06-01,14.6
2020-06-02,14.15
2020-06-03,14.25
2020-06-04,14.2
2020-06-05,14.4
2020-06-08,14.5
2020-06-09,14.8
2020-06-10,15.8
2020-06-11,15.5
2020-06-12,15.5
2020-06-15,14.5
2020-06-16,15.1
2020-06-17,14.9
2020-06-18,14.7
2020-06-19,15.0
2020-06-22,15.05
2020-06-23,14.85
2020-06-24,14.75
2020-06-25,14.55
2020-06-26,14.45
2020-06-29,13.9
2020-06-30,13.85
2020-07-01,14.05
2020-07-02,13.95
2020-07-03,13.65
2020-07-06,13.65
2020-07-07,14.0
2020-07-08,14.05
2020-07-09,14.2
2020-07-10,14.45
2020-07-13,14.5
2020-07-14,14.4
2020-07-15,14.2
2020-07-16,14.3
2020-07-17,14.4
2020-07-20,14.75
2020-07-21,15.05
2020-07-22,14.85
2020-07-23,14.4
2020-07-24,13.5
2020-07-27,12.7
2020-07-28,13.25
2020-07-29,12.95
2020-07-30,12.85
2020-07-31,12.4
2020-08-03,12.9
2020-08-04,13.05
2020-08-05,13.2
2020-08-06,13.2
2020-08-07,13.3
2020-08-10,13.65
2020-08-11,13.6
2020-08-12,13.55
2020-08-13,13.7
2020-08-14,13.4
2020-08-17,13.5
2020-08-18,13.45
2020-08-19,13.6
2020-08-20,13.55
2020-08-21,13.8
2020-08-24,13.9
2020-08-25,13.8
2020-08-26,13.9
2020-08-27,13.95
2020-08-28,13.95
2020-08-31,13.7
2020-09-01,13.65
2020-09-03,13.45
2020-09-04,13.6
2020-09-07,13.45
2020-09-08,13.65
2020-09-09,13.7
2020-09-10,13.75
2020-09-11,13.8
2020-09-14,13.55
2020-09-15,13.5
2020-09-16,13.65
2020-09-17,13.65
2020-09-18,13.65
2020-09-21,13.85
2020-09-22,13.9
2020-09-23,14.4
2020-09-24,14.3
2020-09-25,14.2
2020-09-28,14.3
2020-09-29,13.95
2020-09-30,14.2
2020-10-01,14.3
2020-10-02,14.1
2020-10-05,14.35
2020-10-06,15.0
2020-10-07,14.8
2020-10-08,14.65
2020-10-09,14.6
2020-10-12,14.35
2020-10-13,14.4
2020-10-14,14.7
2020-10-15,14.65
2020-10-16,14.6
2020-10-19,14.8
2020-10-20,14.8
2020-10-21,14.75
2020-10-22,14.75
2020-10-23,14.7
2020-10-26,14.4
2020-10-27,13.85
2020-10-28,13.95
2020-10-29,13.8
2020-10-30,13.85
2020-11-02,14.1
2020-11-03,13.7
2020-11-04,13.9
2020-11-05,13.9
2020-11-06,14.15
2020-11-09,14.4
2020-11-10,14.35
2020-11-11,14.0
2020-11-12,14.25
2020-11-13,14.35
2020-11-16,14.15
2020-11-17,14.4
2020-11-18,14.75
2020-11-19,14.95
2020-11-20,15.5
2020-11-23,15.3
2020-11-25,15.2
2020-11-26,15.7
2020-11-27,15.65
2020-11-30,15.85
2020-12-01,15.8
2020-12-02,15.65
2020-12-03,16.25
2020-12-04,16.2
2020-12-07,16.15
2020-12-08,16.05
2020-12-09,16.2
2020-12-10,15.75
2020-12-11,15.85
2020-12-14,16.05
2020-12-15,16.45
2020-12-16,16.5
2020-12-17,17.65
2020-12-18,17.8
2020-12-21,19.0
2020-12-22,20.3
2020-12-23,19.3
2020-12-24,20.65
2020-12-25,22.05
2020-12-28,23.55
2020-12-29,23.35
2020-12-31,24.4
2021-01-04,26.1
2021-01-05,27.0
2021-01-06,26.2
2021-01-07,27.0
2021-01-08,27.5
2021-01-11,28.2
2021-01-12,29.85
2021-01-13,31.2
2021-01-14,33.35
2021-01-15,34.4
2021-01-18,36.8
2021-01-19,36.8
2021-01-20,37.2
2021-01-21,39.8
2021-01-22,42.55
2021-01-25,45.5
2021-01-26,42.55
2021-01-27,39.6
2021-01-28,36.85
2021-01-29,36.85
2021-02-01,34.3
2021-02-02,36.7
2021-02-03,39.25
2021-02-04,40.15
2021-02-05,40.0
2021-02-08,37.2
2021-02-09,38.6
2021-02-17,41.3
2021-02-18,43.0
2021-02-19,41.6
2021-02-22,40.9
2021-02-23,40.0
2021-02-24,39.0
2021-02-25,39.1
2021-02-26,39.0
2021-03-01,39.3
2021-03-02,39.25
2021-03-03,38.85
2021-03-04,37.45
2021-03-05,37.4
2021-03-08,39.7
2021-03-09,39.1
2021-03-10,38.4
2021-03-11,39.0
2021-03-12,39.8
2021-03-15,40.3
2021-03-16,40.15
2021-03-17,39.7
2021-03-18,39.9
2021-03-19,41.5
2021-03-22,41.4
2021-03-23,40.5
2021-03-24,38.8
2021-03-25,38.2
2021-03-26,38.2
2021-03-29,37.45
2021-03-30,38.6
2021-03-31,38.15
2021-04-01,38.75
2021-04-02,39.4
2021-04-05,39.1
2021-04-06,38.8
2021-04-07,38.4
2021-04-08,38.45
2021-04-09,39.6
2021-04-12,41.1
2021-04-13,40.0
2021-04-14,39.5
2021-04-15,38.3
2021-04-16,37.9
2021-04-19,38.2
2021-04-20,37.3
2021-04-22,34.7
2021-04-23,37.1
2021-04-26,37.5
2021-04-27,36.8
2021-04-28,36.7
2021-04-29,37.45
2021-05-04,37.55
2021-05-05,37.7
2021-05-06,37.6
2021-05-07,36.4
2021-05-10,35.8
2021-05-11,35.9
2021-05-12,36.4
2021-05-13,35.9
2021-05-14,35.4
2021-05-17,33.8
2021-05-18,32.3
2021-05-19,32.5
2021-05-20,30.7
2021-05-21,32.8
2021-05-24,34.4
2021-05-25,33.7
2021-05-26,33.3
2021-05-27,33.1
2021-05-28,33.8
2021-05-31,33.3
2021-06-01,32.8
2021-06-02,33.3
2021-06-03,33.6
2021-06-04,35.5
2021-06-07,35.85
2021-06-08,34.35
2021-06-09,35.0
2021-06-10,33.8
2021-06-11,34.4
2021-06-14,35.4
2021-06-15,37.85
2021-06-16,37.45
2021-06-17,38.95
2021-06-18,38.5
2021-06-21,37.75
2021-06-22,39.0
2021-06-23,38.3
2021-06-24,38.6
2021-06-25,39.0
2021-06-28,40.15
2021-06-29,39.8
2021-06-30,38.4
2021-07-01,39.5
2021-07-02,39.65
2021-07-05,38.35
2021-07-06,35.7
2021-07-07,35.2
2021-07-08,34.45
2021-07-09,32.2
2021-07-12,31.0
2021-07-13,32.5
2021-07-14,32.0
2021-07-15,32.65
2021-07-16,32.7
2021-07-19,30.5
2021-07-20,32.5
2021-07-21,32.45
2021-07-22,33.1
2021-07-23,32.1
2021-07-26,32.5
2021-07-27,32.6
2021-07-28,33.9
2021-07-29,34.1
2021-07-30,34.45
2021-08-02,34.55
2021-08-03,34.6
2021-08-04,34.95
2021-08-05,35.35
2021-08-06,35.5
2021-08-09,36.5
2021-08-10,35.8
2021-08-11,34.4
2021-08-12,34.9
2021-08-13,35.8
2021-08-16,37.15
2021-08-17,36.5
2021-08-18,36.65
2021-08-19,37.2
2021-08-20,36.6
2021-08-23,36.0
2021-08-24,35.9
2021-08-25,36.2
2021-08-26,37.2
2021-08-27,39.4
2021-08-30,40.15
2021-08-31,42.6
2021-09-01,42.5
2021-09-06,41.8
2021-09-07,42.5
2021-09-08,43.6
2021-09-09,43.7
2021-09-10,43.0
2021-09-13,40.5
2021-09-14,41.5
2021-09-15,41.9
2021-09-16,42.7
2021-09-17,42.25
2021-09-20,41.0
2021-09-21,42.5
2021-09-22,43.0
2021-09-23,44.55
2021-09-24,44.15
2021-09-27,41.5
2021-09-28,44.15
2021-09-29,43.75
2021-09-30,43.5
2021-10-01,42.7
2021-10-04,42.7
2021-10-05,44.15
2021-10-06,44.3
2021-10-07,46.0
2021-10-08,45.6
2021-10-11,45.3
2021-10-12,45.4
2021-10-13,46.1
2021-10-14,45.7
2021-10-15,45.2
2021-10-18,43.85
2021-10-19,43.6
2021-10-20,43.1
2021-10-21,42.65
2021-10-22,43.65
2021-10-25,43.65
2021-10-26,44.9
2021-10-27,48.0
2021-10-28,48.3
2021-10-29,48.65
2021-11-01,49.0
2021-11-02,51.6
2021-11-03,48.0
2021-11-04,48.65
2021-11-05,49.0
2021-11-08,49.1
2021-11-09,50.5
2021-11-10,50.9
2021-11-11,53.0
2021-11-12,53.6
2021-11-15,53.8
2021-11-16,52.0
2021-11-17,52.2
2021-11-18,53.5
2021-11-19,50.0
2021-11-22,46.5
2021-11-23,48.0
2021-11-24,48.5
2021-11-25,49.7
2021-11-26,48.25
2021-11-29,48.6
2021-11-30,50.0
2021-12-01,50.2
2021-12-02,51.4
2021-12-03,51.1
2021-12-06,49.0
2021-12-07,50.9
2021-12-08,53.0
2021-12-09,53.6
2021-12-10,54.8
2021-12-13,55.6
2021-12-14,56.2
2021-12-15,55.7
2021-12-16,56.6
2021-12-17,57.0
2021-12-20,56.0
2021-12-21,58.4
2021-12-22,60.0
