,price
2020-01-02,26.5
2020-01-03,26.4
2020-01-06,26.5
2020-01-07,26.3
2020-01-08,25.5
2020-01-09,25.6
2020-01-10,25.6
2020-01-13,25.6
2020-01-14,25.6
2020-01-15,25.6
2020-01-16,25.8
2020-01-17,25.8
2020-01-20,25.8
2020-01-21,25.85
2020-01-22,25.9
2020-01-30,25.5
2020-01-31,25.0
2020-02-03,24.7
2020-02-04,24.7
2020-02-05,24.75
2020-02-06,24.9
2020-02-07,24.9
2020-02-10,24.9
2020-02-11,25.0
2020-02-12,25.3
2020-02-13,24.9
2020-02-14,24.5
2020-02-17,24.5
2020-02-18,24.5
2020-02-19,24.5
2020-02-20,24.55
2020-02-21,24.55
2020-02-24,24.35
2020-02-25,24.7
2020-02-26,24.5
2020-02-27,24.8
2020-02-28,24.55
2020-03-02,24.6
2020-03-03,24.6
2020-03-04,24.8
2020-03-05,24.8
2020-03-06,24.5
2020-03-09,23.0
2020-03-10,23.5
2020-03-11,23.0
2020-03-12,21.65
2020-03-13,21.1
2020-03-16,20.35
2020-03-17,21.0
2020-03-18,21.0
2020-03-19,21.0
2020-03-20,20.0
2020-03-23,19.0
2020-03-24,19.15
2020-03-25,19.35
2020-03-26,19.35
2020-03-27,19.45
2020-03-30,18.8
2020-03-31,18.5
2020-04-01,18.4
2020-04-03,18.3
2020-04-06,18.7
2020-04-07,18.7
2020-04-08,19.5
2020-04-09,20.0
2020-04-10,19.9
2020-04-13,20.15
2020-04-14,20.2
2020-04-15,20.65
2020-04-16,20.6
2020-04-17,20.9
2020-04-20,20.9
2020-04-21,20.4
2020-04-22,20.45
2020-04-23,20.5
2020-04-24,20.5
2020-04-27,20.5
2020-04-28,20.55
2020-04-29,20.95
2020-05-04,20.9
2020-05-05,21.0
2020-05-06,21.0
2020-05-07,21.15
2020-05-08,21.35
2020-05-11,21.35
2020-05-12,22.55
2020-05-13,23.0
2020-05-14,22.95
2020-05-15,22.0
2020-05-18,21.8
2020-05-19,22.4
2020-05-20,22.2
2020-05-21,22.0
2020-05-22,21.3
2020-05-25,21.7
2020-05-26,22.05
2020-05-27,21.7
2020-05-28,21.75
2020-05-29,22.0
2020-06-01,22.25
2020-06-02,22.25
2020-06-03,23.2
2020-06-04,23.0
2020-06-05,23.35
2020-06-08,23.9
2020-06-09,23.5
2020-06-10,23.55
2020-06-11,23.35
2020-06-12,23.2
2020-06-15,23.0
2020-06-16,23.3
2020-06-17,23.3
2020-06-18,23.4
2020-06-19,24.3
2020-06-22,24.25
2020-06-23,24.1
2020-06-24,24.0
2020-06-25,23.85
2020-06-26,23.6
2020-06-29,23.2
2020-06-30,23.2
2020-07-01,23.3
2020-07-02,23.5
2020-07-03,24.0
2020-07-06,24.15
2020-07-07,24.05
2020-07-08,24.0
2020-07-09,24.0
2020-07-10,24.15
2020-07-13,24.2
2020-07-14,24.2
2020-07-15,24.5
2020-07-16,25.35
2020-07-17,25.05
2020-07-20,24.6
2020-07-21,24.75
2020-07-22,24.75
2020-07-23,24.8
