,price
2020-01-02,9.92
2020-01-03,9.92
2020-01-06,9.7
2020-01-07,9.5
2020-01-08,9.7
2020-01-09,9.65
2020-01-10,9.65
2020-01-13,9.5
2020-01-14,9.7
2020-01-15,9.6
2020-01-16,9.5
2020-01-17,9.7
2020-01-20,9.6
2020-01-21,9.5
2020-01-22,9.5
2020-01-30,9.5
2020-01-31,9.5
2020-02-03,9.5
2020-02-04,9.5
2020-02-05,9.5
2020-02-06,9.5
2020-02-07,9.5
2020-02-10,9.5
2020-02-11,9.4
2020-02-12,9.3
2020-02-13,9.25
2020-02-14,9.25
2020-02-17,9.23
2020-02-18,9.2
2020-02-19,9.22
2020-02-20,9.23
2020-02-21,9.4
2020-02-24,9.4
2020-02-25,9.39
2020-02-26,9.4
2020-02-27,9.35
2020-02-28,9.0
2020-03-02,9.38
2020-03-03,9.35
2020-03-04,9.34
2020-03-05,9.3
2020-03-06,9.3
2020-03-09,9.29
2020-03-10,9.19
2020-03-11,9.3
2020-03-12,9.49
2020-03-13,9.2
2020-03-16,9.22
2020-03-17,9.2
2020-03-18,9.16
2020-03-19,9.14
2020-03-20,9.1
2020-03-23,9.1
2020-03-24,9.04
2020-03-25,8.59
2020-03-26,8.41
2020-03-27,8.94
2020-03-30,8.4
2020-03-31,8.78
2020-04-01,8.92
2020-04-03,8.7
2020-04-06,8.7
2020-04-07,8.3
2020-04-08,8.4
2020-04-09,8.4
2020-04-10,8.33
2020-04-13,8.05
2020-04-14,8.57
2020-04-15,8.99
2020-04-16,8.99
2020-04-17,8.4
2020-04-20,8.37
2020-04-21,8.8
2020-04-22,8.27
2020-04-23,8.21
2020-04-24,8.26
2020-04-27,8.09
2020-04-28,8.4
2020-04-29,8.84
2020-05-04,8.31
2020-05-05,8.4
2020-05-06,8.88
2020-05-07,8.44
2020-05-08,8.4
2020-05-11,8.42
2020-05-12,8.8
2020-05-13,8.5
2020-05-14,8.99
2020-05-15,8.6
2020-05-18,8.4
2020-05-19,8.41
2020-05-20,8.29
2020-05-21,8.35
2020-05-22,8.35
2020-05-25,8.35
2020-05-26,8.35
2020-05-27,8.35
2020-05-28,8.3
2020-05-29,8.29
2020-06-01,8.11
2020-06-02,8.11
2020-06-03,8.29
2020-06-04,8.29
2020-06-05,8.1
2020-06-08,8.25
2020-06-09,8.3
2020-06-10,8.3
