,price
2020-01-02,27.9
2020-01-03,28.1
2020-01-06,27.7
2020-01-07,28.0
2020-01-08,27.9
2020-01-09,28.0
2020-01-10,29.0
2020-01-13,28.5
2020-01-14,28.7
2020-01-15,28.4
2020-01-16,28.3
2020-01-17,28.1
2020-01-20,28.6
2020-01-21,28.7
2020-01-22,29.2
2020-01-30,29.4
2020-01-31,29.7
2020-02-03,30.5
2020-02-04,31.0
2020-02-05,29.9
2020-02-06,29.1
2020-02-07,28.1
2020-02-10,28.5
2020-02-11,28.7
2020-02-12,28.5
2020-02-13,28.1
2020-02-14,28.2
2020-02-17,28.5
2020-02-18,28.8
2020-02-19,28.6
2020-02-20,28.0
2020-02-21,27.4
2020-02-24,27.2
2020-02-25,27.2
2020-02-26,26.9
2020-02-27,27.3
2020-02-28,27.2
2020-03-02,27.5
2020-03-03,28.1
2020-03-04,27.9
2020-03-05,28.4
2020-03-06,28.0
2020-03-09,27.3
2020-03-10,28.1
2020-03-11,27.6
2020-03-12,27.4
2020-03-13,28.2
2020-03-16,27.8
2020-03-17,27.6
2020-03-18,28.3
2020-03-19,27.4
2020-03-20,27.1
2020-03-23,27.2
2020-03-24,27.0
2020-03-25,27.8
2020-03-26,28.3
2020-03-27,27.8
2020-03-30,27.1
2020-03-31,27.5
2020-04-01,28.2
2020-04-03,28.3
2020-04-06,28.5
2020-04-07,27.7
2020-04-08,27.8
2020-04-09,28.5
2020-04-10,28.8
2020-04-13,28.4
2020-04-14,28.1
2020-04-15,28.6
2020-04-16,29.0
2020-04-17,28.7
2020-04-20,28.4
2020-04-21,28.2
2020-04-22,28.6
2020-04-23,29.3
2020-04-24,28.8
2020-04-27,28.3
2020-04-28,28.8
2020-04-29,29.3
2020-05-04,29.0
2020-05-05,28.5
2020-05-06,28.4
2020-05-07,28.6
2020-05-08,29.0
2020-05-11,28.7
2020-05-12,28.8
2020-05-13,29.1
2020-05-14,29.5
2020-05-15,29.6
2020-05-18,28.9
2020-05-19,29.1
2020-05-20,29.0
2020-05-21,29.3
2020-05-22,28.5
2020-05-25,28.6
2020-05-26,28.9
2020-05-27,28.8
2020-05-28,28.6
2020-05-29,29.0
2020-06-01,29.8
2020-06-02,30.2
2020-06-03,29.6
2020-06-04,30.2
2020-06-05,30.8
2020-06-08,31.7
2020-06-09,31.4
2020-06-10,30.7
2020-06-11,30.4
2020-06-12,30.1
2020-06-15,30.8
2020-06-16,31.4
2020-06-17,31.7
2020-06-18,32.0
2020-06-19,32.7
2020-06-22,32.0
2020-06-23,32.2
2020-06-24,32.7
2020-06-25,33.3
2020-06-26,33.0
2020-06-29,32.5
2020-06-30,32.9
2020-07-01,33.65
2020-07-02,33.3
2020-07-03,32.6
2020-07-06,32.9
2020-07-07,33.2
2020-07-08,33.5
2020-07-09,33.9
2020-07-10,33.1
2020-07-13,32.4
2020-07-14,32.0
2020-07-15,32.5
2020-07-16,33.0
2020-07-17,32.4
2020-07-20,31.4
2020-07-21,30.8
2020-07-22,31.3
2020-07-23,32.0
2020-07-24,31.6
2020-07-27,30.5
2020-07-28,30.9
2020-07-29,30.1
2020-07-30,30.3
2020-07-31,29.9
2020-08-03,30.5
2020-08-04,31.0
2020-08-05,31.2
2020-08-06,30.3
2020-08-07,29.7
2020-08-10,30.1
2020-08-11,30.2
2020-08-12,29.5
2020-08-13,29.8
2020-08-14,30.0
2020-08-17,29.7
2020-08-18,30.0
2020-08-19,30.3
2020-08-20,30.0
2020-08-21,30.2
2020-08-24,30.6
2020-08-25,30.8
2020-08-26,30.6
2020-08-27,30.9
2020-08-28,30.5
2020-08-31,30.6
2020-09-01,30.7
2020-09-03,30.9
2020-09-04,30.3
2020-09-07,30.5
2020-09-08,30.8
2020-09-09,30.4
2020-09-10,30.7
2020-09-11,30.5
2020-09-14,30.8
2020-09-15,31.0
2020-09-16,31.3
2020-09-17,31.3
2020-09-18,31.5
2020-09-21,31.9
2020-09-22,31.6
2020-09-23,31.7
2020-09-24,31.2
2020-09-25,30.8
2020-09-28,30.5
2020-09-29,30.5
2020-09-30,30.9
2020-10-01,31.4
2020-10-02,31.6
2020-10-05,32.1
2020-10-06,32.0
2020-10-07,32.6
2020-10-08,32.3
2020-10-09,32.5
2020-10-12,33.0
2020-10-13,32.6
2020-10-14,33.0
2020-10-15,33.3
2020-10-16,33.7
2020-10-19,33.6
2020-10-20,33.5
2020-10-21,33.8
2020-10-22,33.9
2020-10-23,34.4
2020-10-26,34.8
2020-10-27,34.5
2020-10-28,33.8
2020-10-29,33.0
2020-10-30,32.05
2020-11-02,32.2
2020-11-03,32.55
2020-11-04,32.3
2020-11-05,31.45
2020-11-06,31.65
2020-11-09,30.6
2020-11-10,30.7
2020-11-11,29.2
2020-11-12,28.9
2020-11-13,27.75
2020-11-16,29.6
2020-11-17,30.2
2020-11-18,30.2
2020-11-19,30.4
2020-11-20,30.3
2020-11-23,30.3
2020-11-24,30.8
2020-11-25,30.0
2020-11-26,30.2
2020-11-27,30.5
2020-11-30,30.4
2020-12-01,30.45
2020-12-02,30.45
2020-12-03,30.3
2020-12-04,30.35
2020-12-07,30.3
2020-12-08,30.4
2020-12-09,31.2
2020-12-10,30.35
2020-12-11,29.95
2020-12-14,30.2
2020-12-15,30.4
2020-12-16,30.85
2020-12-17,33.0
2020-12-18,35.0
2020-12-21,32.55
2020-12-22,30.9
2020-12-23,29.5
2020-12-24,30.5
2020-12-25,32.5
2020-12-28,24.45
2020-12-29,24.25
2020-12-30,24.0
2020-12-31,24.3
2021-01-04,24.4
2021-01-05,24.3
2021-01-06,24.6
2021-01-07,24.5
2021-01-08,24.5
2021-01-11,24.5
2021-01-12,24.5
2021-01-13,24.5
2021-01-14,24.5
2021-01-15,24.5
2021-01-18,24.55
2021-01-19,24.55
2021-01-20,24.2
2021-01-21,24.5
2021-01-22,24.5
2021-01-25,24.5
2021-01-26,24.5
2021-01-27,24.45
2021-01-28,24.0
2021-01-29,24.25
2021-02-01,24.25
2021-02-02,24.35
2021-02-03,24.5
2021-02-04,24.6
2021-02-05,24.6
2021-02-09,24.65
2021-02-17,24.8
2021-02-18,24.65
2021-02-19,24.65
2021-02-22,24.65
2021-02-23,24.65
2021-02-24,24.65
2021-02-25,24.65
2021-02-26,24.65
2021-03-01,24.65
2021-03-02,24.65
2021-03-03,24.6
2021-03-04,24.55
2021-03-05,24.7
2021-03-08,24.45
2021-03-09,24.7
2021-03-10,24.8
2021-03-11,24.8
2021-03-12,24.75
2021-03-15,24.75
2021-03-16,24.6
2021-03-17,24.6
2021-03-18,24.25
2021-03-19,24.2
2021-03-22,24.25
2021-03-23,24.3
2021-03-24,24.3
2021-03-25,24.05
2021-03-26,24.15
2021-03-29,24.5
2021-03-30,24.5
2021-03-31,24.6
2021-04-01,24.65
2021-04-02,24.7
2021-04-05,24.7
2021-04-06,24.7
2021-04-07,24.8
2021-04-08,24.9
2021-04-09,24.95
2021-04-12,25.0
2021-04-13,25.3
2021-04-14,25.6
2021-04-15,25.8
2021-04-16,25.7
2021-04-19,25.85
2021-04-20,25.8
2021-04-22,25.8
2021-04-23,25.8
2021-04-26,25.8
2021-04-27,25.8
2021-04-28,25.9
2021-04-29,25.9
2021-05-04,25.9
2021-05-05,25.85
2021-05-06,25.7
2021-05-07,25.9
2021-05-10,25.9
2021-05-11,25.4
2021-05-12,25.4
2021-05-13,25.4
2021-05-14,25.4
2021-05-17,25.4
2021-05-18,25.35
2021-05-19,25.35
2021-05-20,25.35
2021-05-21,25.4
2021-05-24,25.8
2021-05-25,26.15
2021-05-26,26.3
2021-05-27,26.5
2021-05-28,26.8
2021-05-31,27.0
2021-06-01,27.3
2021-06-02,27.5
2021-06-03,27.7
2021-06-04,27.9
2021-06-07,28.1
2021-06-08,28.15
2021-06-09,28.2
2021-06-10,28.25
2021-06-11,28.3
2021-06-14,28.3
2021-06-15,28.35
2021-06-16,28.3
2021-06-17,28.35
2021-06-18,28.45
2021-06-21,28.6
2021-06-22,28.65
2021-06-23,28.7
2021-06-24,28.75
2021-06-25,28.75
2021-06-28,28.8
2021-06-29,28.85
2021-06-30,28.9
2021-07-01,28.95
2021-07-02,28.95
2021-07-05,28.95
2021-07-06,28.9
2021-07-07,29.0
2021-07-08,28.9
2021-07-09,28.8
2021-07-12,28.6
2021-07-13,28.55
2021-07-14,28.5
2021-07-15,28.55
2021-07-16,28.4
2021-07-19,28.35
2021-07-20,28.4
2021-07-21,28.45
2021-07-22,28.55
2021-07-23,28.6
2021-07-26,28.6
2021-07-27,28.7
2021-07-28,29.1
2021-07-29,28.8
2021-07-30,28.8
2021-08-02,28.0
2021-08-03,28.0
2021-08-04,28.3
2021-08-05,28.4
2021-08-06,28.45
2021-08-09,28.45
2021-08-10,28.45
2021-08-11,28.5
2021-08-12,28.4
2021-08-13,28.4
2021-08-16,28.45
2021-08-17,28.45
2021-08-18,28.5
2021-08-19,28.55
2021-08-20,28.05
2021-08-23,27.95
2021-08-24,28.05
2021-08-25,28.35
2021-08-26,28.3
2021-08-27,28.55
2021-08-30,28.6
2021-08-31,28.7
2021-09-01,28.8
2021-09-06,28.9
2021-09-07,28.8
2021-09-08,29.0
2021-09-09,29.5
2021-09-10,30.0
2021-09-13,30.15
2021-09-14,30.5
2021-09-15,30.65
2021-09-16,30.7
2021-09-17,31.8
2021-09-20,32.2
2021-09-21,31.9
2021-09-22,31.8
2021-09-23,31.8
2021-09-24,31.8
2021-09-27,31.1
2021-09-28,30.4
2021-09-29,30.4
2021-09-30,30.45
2021-10-01,30.45
2021-10-04,31.3
2021-10-05,31.4
2021-10-06,31.45
2021-10-07,31.5
2021-10-08,31.5
2021-10-11,31.6
2021-10-12,31.7
2021-10-13,31.75
2021-10-14,31.8
2021-10-15,32.0
2021-10-18,32.2
2021-10-19,31.9
2021-10-20,32.1
2021-10-21,32.25
2021-10-22,32.3
2021-10-25,32.4
2021-10-26,32.5
2021-10-27,32.5
2021-10-28,32.55
2021-10-29,32.7
2021-11-01,33.0
2021-11-02,33.5
2021-11-03,34.0
2021-11-04,34.45
2021-11-05,34.85
2021-11-08,34.9
2021-11-09,34.4
2021-11-10,33.05
2021-11-11,32.35
2021-11-12,32.25
2021-11-15,32.15
2021-11-16,31.25
2021-11-17,31.4
2021-11-18,31.45
2021-11-19,31.45
2021-11-22,31.45
2021-11-23,31.7
2021-11-24,31.8
2021-11-25,31.3
2021-11-26,31.55
2021-11-29,31.55
2021-11-30,31.85
2021-12-01,31.9
2021-12-02,32.0
2021-12-03,31.55
2021-12-06,31.4
2021-12-07,31.55
2021-12-08,31.6
2021-12-09,31.6
2021-12-10,31.55
2021-12-13,31.55
2021-12-14,31.6
2021-12-15,31.65
2021-12-16,31.7
2021-12-17,31.75
2021-12-20,31.75
2021-12-21,31.8
2021-12-22,32.1
2021-12-23,32.5
2021-12-24,33.5
2021-12-27,33.6
2021-12-28,33.6
2021-12-29,32.1
2021-12-30,32.1
2021-12-31,32.15
2022-01-04,32.4
2022-01-05,32.6
2022-01-06,31.85
2022-01-07,32.0
2022-01-10,31.85
2022-01-11,31.85
2022-01-12,31.5
2022-01-13,31.9
2022-01-14,31.8
2022-01-17,31.8
2022-01-18,31.8
2022-01-19,31.9
2022-01-20,31.8
2022-01-21,32.45
2022-01-24,32.7
2022-01-25,32.8
2022-01-26,33.3
2022-01-27,33.6
2022-01-28,33.7
2022-02-07,34.0
2022-02-08,34.3
2022-02-09,34.35
2022-02-10,34.5
2022-02-11,34.5
2022-02-14,34.15
2022-02-15,34.15
2022-02-16,34.15
2022-02-17,34.3
2022-02-18,34.3
2022-02-21,34.3
2022-02-22,34.0
2022-02-23,33.9
2022-02-24,33.95
2022-02-25,34.1
2022-02-28,33.9
2022-03-01,33.75
2022-03-02,33.75
2022-03-03,33.9
2022-03-04,34.1
2022-03-07,34.2
2022-03-08,34.35
2022-03-09,34.5
2022-03-10,36.3
2022-03-11,37.2
2022-03-14,36.95
2022-03-15,34.6
2022-03-16,34.2
2022-03-17,34.3
2022-03-18,34.0
2022-03-21,34.2
2022-03-22,34.0
2022-03-23,34.3
2022-03-24,34.6
2022-03-25,35.05
2022-03-28,35.5
2022-03-29,36.2
2022-03-30,36.2
2022-03-31,36.4
2022-04-01,36.5
2022-04-04,35.8
2022-04-05,36.5
2022-04-06,36.5
2022-04-07,36.5
2022-04-08,36.4
2022-04-12,36.4
2022-04-13,36.6
2022-04-14,36.7
2022-04-15,37.0
2022-04-18,36.7
2022-04-19,36.6
2022-04-20,36.6
2022-04-21,36.6
2022-04-22,36.9
2022-04-25,36.55
2022-04-26,36.2
2022-04-27,36.2
2022-04-28,36.3
2022-04-29,36.5
2022-05-04,35.9
2022-05-05,35.75
2022-05-06,35.4
2022-05-09,35.0
2022-05-10,35.0
2022-05-11,34.9
2022-05-12,34.8
2022-05-13,35.0
2022-05-16,34.9
2022-05-17,35.2
2022-05-18,35.4
2022-05-19,35.3
2022-05-20,35.0
2022-05-23,34.7
2022-05-24,33.9
2022-05-25,34.0
