,price
2020-01-02,16.85
2020-01-03,16.7
2020-01-06,15.65
2020-01-07,16.5
2020-01-08,15.85
2020-01-09,15.5
2020-01-10,15.1
2020-01-13,15.5
2020-01-14,15.3
2020-01-15,15.3
2020-01-16,15.2
2020-01-17,15.35
2020-01-20,15.85
2020-01-21,16.55
2020-01-22,17.05
2020-01-30,16.4
2020-01-31,16.0
2020-02-03,15.05
2020-02-04,15.1
2020-02-05,15.3
2020-02-06,15.85
2020-02-07,16.4
2020-02-10,15.8
2020-02-11,16.65
2020-02-12,16.95
2020-02-13,16.6
2020-02-14,17.15
2020-02-17,18.0
2020-02-18,17.55
2020-02-19,17.85
2020-02-20,19.05
2020-02-21,19.1
2020-02-24,17.8
2020-02-25,18.3
2020-02-26,18.5
2020-02-27,19.15
2020-02-28,19.65
2020-03-02,20.5
2020-03-03,20.55
2020-03-04,20.7
2020-03-05,20.3
2020-03-06,20.3
2020-03-09,18.9
2020-03-10,17.65
2020-03-11,16.9
2020-03-12,15.75
2020-03-13,16.35
2020-03-16,15.25
2020-03-17,15.2
2020-03-18,15.2
2020-03-19,14.8
2020-03-20,14.5
2020-03-23,13.5
2020-03-24,12.6
2020-03-25,13.2
2020-03-26,12.6
2020-03-27,12.3
2020-03-30,12.2
2020-03-31,12.2
2020-04-01,12.35
2020-04-03,13.1
2020-04-06,13.7
2020-04-07,13.35
2020-04-08,13.1
2020-04-09,14.0
2020-04-10,14.6
2020-04-13,15.05
2020-04-14,14.65
2020-04-15,15.0
2020-04-16,15.5
2020-04-17,15.8
2020-04-20,16.9
2020-04-21,17.7
2020-04-22,18.9
2020-04-23,18.6
2020-04-24,18.35
2020-04-27,18.7
2020-04-28,18.3
2020-04-29,18.5
2020-05-04,17.7
2020-05-05,18.3
2020-05-06,18.85
2020-05-07,19.2
2020-05-08,20.05
2020-05-11,20.8
2020-05-12,20.6
2020-05-13,20.7
2020-05-14,20.2
2020-05-15,19.45
2020-05-18,20.4
2020-05-19,20.1
2020-05-20,20.4
2020-05-21,20.4
2020-05-22,21.8
2020-05-25,23.15
2020-05-26,22.8
2020-05-27,22.0
2020-05-28,22.65
2020-05-29,24.2
2020-06-01,25.65
2020-06-02,24.8
2020-06-03,26.5
2020-06-04,27.5
2020-06-05,27.4
2020-06-08,27.65
2020-06-09,28.7
2020-06-10,28.8
2020-06-11,26.8
2020-06-12,24.95
2020-06-15,23.25
2020-06-16,24.1
2020-06-17,23.95
2020-06-18,24.15
2020-06-19,24.9
2020-06-22,25.9
2020-06-23,25.05
2020-06-24,23.8
2020-06-25,24.35
2020-06-26,24.0
2020-06-29,22.35
2020-06-30,21.25
2020-07-01,22.7
2020-07-02,22.95
2020-07-03,22.8
2020-07-06,23.7
2020-07-07,24.1
2020-07-08,24.2
2020-07-09,25.0
2020-07-10,24.85
2020-07-13,24.5
2020-07-14,24.5
2020-07-15,24.65
2020-07-16,24.45
2020-07-17,25.15
2020-07-20,25.45
2020-07-21,25.45
2020-07-22,24.45
2020-07-23,24.0
2020-07-24,22.35
2020-07-27,20.8
2020-07-28,22.0
2020-07-29,20.6
2020-07-30,20.8
2020-07-31,20.0
2020-08-03,21.4
2020-08-04,22.7
2020-08-05,23.2
2020-08-06,23.3
2020-08-07,24.2
2020-08-10,24.2
2020-08-11,24.1
2020-08-12,24.2
2020-08-13,25.85
2020-08-14,26.45
2020-08-17,26.55
2020-08-18,26.55
2020-08-19,26.8
2020-08-20,26.5
2020-08-21,27.85
2020-08-24,28.3
2020-08-25,28.05
2020-08-26,28.0
2020-08-27,28.65
2020-08-28,27.7
2020-08-31,27.0
2020-09-01,27.95
2020-09-03,27.6
2020-09-04,28.4
2020-09-07,29.45
2020-09-08,29.8
2020-09-09,30.5
2020-09-10,29.8
2020-09-11,29.9
2020-09-14,31.0
2020-09-15,30.6
2020-09-16,30.65
2020-09-17,30.5
2020-09-18,31.3
2020-09-21,30.8
2020-09-22,30.15
2020-09-23,31.2
2020-09-24,30.75
2020-09-25,30.65
2020-09-28,30.6
2020-09-29,30.05
2020-09-30,30.35
2020-10-01,30.5
2020-10-02,31.1
2020-10-05,32.75
2020-10-06,32.45
2020-10-07,31.9
2020-10-08,31.0
2020-10-09,31.2
2020-10-12,30.35
