,price
2020-01-02,9.8
2020-01-03,9.31
2020-01-06,9.11
2020-01-07,9.11
2020-01-08,9.11
2020-01-09,9.11
2020-01-10,9.11
2020-01-13,9.11
2020-01-14,9.11
2020-01-15,9.11
2020-01-16,9.11
2020-01-17,9.11
2020-01-20,9.12
2020-01-21,9.12
2020-01-22,9.75
2020-01-30,9.8
2020-01-31,9.8
2020-02-03,9.22
2020-02-04,9.22
2020-02-05,9.0
2020-02-06,9.0
2020-02-07,9.63
2020-02-10,10.0
2020-02-11,10.0
2020-02-12,10.0
2020-02-13,10.0
2020-02-14,9.6
2020-02-17,9.7
2020-02-18,9.7
2020-02-19,9.05
2020-02-20,9.5
2020-02-21,9.5
2020-02-24,9.5
2020-02-25,9.5
2020-02-26,9.5
2020-02-27,9.5
2020-02-28,9.6
2020-03-02,9.6
2020-03-03,9.6
2020-03-04,9.6
2020-03-05,9.59
2020-03-06,9.6
2020-03-09,9.6
2020-03-10,8.94
2020-03-11,9.0
2020-03-12,9.59
2020-03-13,9.0
2020-03-16,9.0
2020-03-17,9.49
2020-03-18,9.5
2020-03-19,9.5
2020-03-20,9.5
2020-03-23,9.35
2020-03-24,9.35
2020-03-25,9.89
2020-03-26,10.15
2020-03-27,10.15
2020-03-30,9.44
2020-03-31,8.78
2020-04-01,8.17
2020-04-03,8.01
2020-04-06,8.01
2020-04-07,8.57
2020-04-08,8.11
2020-04-09,8.67
2020-04-10,8.67
2020-04-13,8.67
2020-04-14,8.67
2020-04-15,8.12
2020-04-16,8.2
2020-04-17,8.01
2020-04-20,8.57
2020-04-21,9.0
2020-04-22,9.0
2020-04-23,9.0
2020-04-24,8.6
2020-04-27,8.6
2020-04-28,9.1
2020-04-29,8.47
2020-05-04,8.47
2020-05-05,8.5
2020-05-06,8.4
2020-05-07,8.97
2020-05-08,8.36
2020-05-11,8.5
2020-05-12,8.49
2020-05-13,8.48
2020-05-14,8.39
2020-05-15,8.39
2020-05-18,8.1
2020-05-19,8.01
2020-05-20,8.57
2020-05-21,9.0
2020-05-22,9.0
2020-05-25,9.0
2020-05-26,8.6
2020-05-27,8.6
2020-05-28,9.1
2020-05-29,8.47
2020-06-01,8.47
2020-06-02,8.5
2020-06-03,8.4
2020-06-04,8.97
2020-06-05,8.36
2020-06-08,8.5
2020-06-09,8.49
2020-06-10,8.48
2020-06-11,8.39
2020-06-12,8.39
2020-06-15,8.1
2020-06-16,8.0
2020-06-17,8.0
2020-06-18,7.8
2020-06-19,8.0
2020-06-22,7.99
2020-06-23,7.8
2020-06-24,7.8
2020-06-25,7.8
2020-06-26,7.8
2020-06-29,8.0
2020-06-30,7.8
2020-07-01,7.8
2020-07-02,7.8
2020-07-03,7.8
2020-07-06,7.8
2020-07-07,7.5
2020-07-08,7.5
2020-07-09,7.5
2020-07-10,7.01
2020-07-13,7.01
2020-07-14,7.01
2020-07-15,7.5
2020-07-16,7.5
2020-07-17,7.5
2020-07-20,7.5
2020-07-21,7.5
2020-07-22,7.5
2020-07-23,7.6
2020-07-24,7.6
2020-07-27,8.13
2020-07-28,7.57
2020-07-29,7.5
2020-07-30,7.5
2020-07-31,8.02
2020-08-03,7.5
2020-08-04,8.02
2020-08-05,8.02
2020-08-06,8.57
2020-08-07,9.15
2020-08-10,9.29
2020-08-11,9.29
2020-08-12,8.64
2020-08-13,9.22
2020-08-14,9.81
2020-08-17,9.13
2020-08-18,9.74
2020-08-19,9.06
2020-08-20,9.49
2020-08-21,9.95
2020-08-24,9.89
2020-08-25,9.2
2020-08-26,9.8
2020-08-27,9.8
2020-08-28,9.8
2020-08-31,9.8
2020-09-01,9.35
2020-09-03,8.76
2020-09-04,9.37
2020-09-07,9.4
2020-09-08,10.0
2020-09-09,10.0
2020-09-10,9.98
2020-09-11,10.45
2020-09-14,10.0
2020-09-15,10.0
2020-09-16,10.45
2020-09-17,10.5
2020-09-18,10.5
2020-09-21,10.6
2020-09-22,10.6
2020-09-23,10.6
2020-09-24,10.6
2020-09-25,10.0
2020-09-28,10.6
2020-09-29,10.0
2020-09-30,10.0
2020-10-01,10.0
2020-10-02,10.0
2020-10-05,9.55
2020-10-06,9.03
2020-10-07,9.66
2020-10-08,10.25
2020-10-09,10.2
2020-10-12,10.45
2020-10-13,10.0
2020-10-14,9.9
2020-10-15,9.9
2020-10-16,10.5
2020-10-19,10.7
2020-10-20,9.96
2020-10-21,10.1
2020-10-22,10.1
2020-10-23,10.1
2020-10-26,10.1
2020-10-27,10.1
2020-10-28,9.9
2020-10-29,9.9
2020-10-30,9.9
2020-11-02,9.61
2020-11-03,9.62
2020-11-04,9.62
2020-11-05,9.61
2020-11-06,9.62
2020-11-09,9.71
2020-11-10,9.71
2020-11-11,9.2
2020-11-12,9.55
2020-11-13,9.55
2020-11-16,9.55
2020-11-17,9.55
2020-11-18,9.55
2020-11-19,9.55
2020-11-20,9.65
2020-11-23,10.0
2020-11-24,9.3
2020-11-25,9.3
2020-11-26,9.3
2020-11-27,9.3
2020-11-30,9.3
2020-12-01,9.0
2020-12-02,8.4
2020-12-03,8.98
2020-12-04,9.5
2020-12-07,9.5
2020-12-08,10.05
2020-12-09,10.2
2020-12-10,10.15
2020-12-11,9.5
2020-12-14,10.15
