,price
2020-01-02,8.15
2020-01-03,8.05
2020-01-06,7.96
2020-01-07,7.82
2020-01-08,7.51
2020-01-09,7.64
2020-01-10,7.52
2020-01-13,7.41
2020-01-14,7.26
2020-01-15,7.2
2020-01-16,7.28
2020-01-17,7.29
2020-01-20,7.41
2020-01-21,7.51
2020-01-22,7.51
2020-01-30,7.22
2020-01-31,6.77
2020-02-03,6.35
2020-02-04,6.43
2020-02-05,6.52
2020-02-06,6.85
2020-02-07,6.8
2020-02-10,6.7
2020-02-11,6.6
2020-02-12,6.69
2020-02-13,6.68
2020-02-14,6.75
2020-02-17,6.85
2020-02-18,7.12
2020-02-19,7.05
2020-02-20,7.06
2020-02-21,6.8
2020-02-24,6.41
2020-02-25,6.45
2020-02-26,6.3
2020-02-27,6.37
2020-02-28,6.22
2020-03-02,6.23
2020-03-03,6.39
2020-03-04,6.4
2020-03-05,6.4
2020-03-06,6.75
2020-03-09,6.28
2020-03-10,6.27
2020-03-11,6.1
2020-03-12,5.68
2020-03-13,5.29
2020-03-16,5.2
2020-03-17,5.2
2020-03-18,5.2
2020-03-19,5.05
2020-03-20,4.85
2020-03-23,4.52
2020-03-24,4.25
2020-03-25,4.32
2020-03-26,4.32
2020-03-27,4.25
2020-03-30,3.96
2020-03-31,3.7
2020-04-01,3.95
2020-04-03,4.22
2020-04-06,4.51
2020-04-07,4.57
2020-04-08,4.57
2020-04-09,4.72
2020-04-10,4.6
2020-04-13,4.7
2020-04-14,4.7
2020-04-15,5.02
2020-04-16,5.1
2020-04-17,5.45
2020-04-20,5.45
2020-04-21,5.2
2020-04-22,5.56
2020-04-23,5.69
2020-04-24,5.68
2020-04-27,5.65
2020-04-28,5.65
2020-04-29,5.8
2020-05-04,5.4
2020-05-05,5.31
2020-05-06,5.27
2020-05-07,5.6
2020-05-08,5.55
2020-05-11,5.75
2020-05-12,5.7
2020-05-13,5.81
2020-05-14,6.18
2020-05-15,6.25
2020-05-18,6.17
2020-05-19,6.16
2020-05-20,6.18
2020-05-21,6.45
2020-05-22,6.3
2020-05-25,6.6
2020-05-26,6.93
2020-05-27,6.83
2020-05-28,7.0
2020-05-29,6.97
2020-06-01,7.45
2020-06-02,7.6
2020-06-03,7.72
2020-06-04,8.01
2020-06-05,7.92
2020-06-08,8.08
2020-06-09,7.93
2020-06-10,7.81
2020-06-11,7.3
2020-06-12,7.58
2020-06-15,7.32
2020-06-16,7.4
2020-06-17,7.3
2020-06-18,7.2
2020-06-19,7.7
2020-06-22,7.8
2020-06-23,7.8
2020-06-24,7.53
2020-06-25,7.59
2020-06-26,7.35
2020-06-29,7.0
2020-06-30,6.9
2020-07-01,7.25
2020-07-02,7.15
2020-07-03,7.2
2020-07-06,7.29
2020-07-07,7.25
2020-07-08,7.22
2020-07-09,7.59
2020-07-10,7.5
2020-07-13,7.9
2020-07-14,8.24
2020-07-15,8.16
2020-07-16,8.29
2020-07-17,8.2
2020-07-20,8.2
2020-07-21,8.05
2020-07-22,8.55
2020-07-23,8.44
2020-07-24,7.9
2020-07-27,7.35
2020-07-28,7.55
2020-07-29,7.34
2020-07-30,7.58
2020-07-31,7.67
2020-08-03,7.72
2020-08-04,7.76
2020-08-05,8.09
2020-08-06,8.28
2020-08-07,8.48
2020-08-10,8.5
2020-08-11,8.47
2020-08-12,8.26
2020-08-13,8.52
2020-08-14,8.3
2020-08-17,8.16
2020-08-18,8.3
2020-08-19,8.88
2020-08-20,8.98
2020-08-21,9.1
2020-08-24,9.03
2020-08-25,9.39
2020-08-26,9.28
2020-08-27,9.47
2020-08-28,9.4
2020-08-31,9.11
2020-09-01,9.13
2020-09-03,9.11
2020-09-04,9.2
2020-09-07,9.14
2020-09-08,9.02
2020-09-09,8.26
2020-09-10,8.26
2020-09-11,8.1
2020-09-14,8.51
2020-09-15,8.6
