,price
2020-01-02,8.85
2020-01-03,8.66
2020-01-06,8.4
2020-01-07,8.45
2020-01-08,7.86
2020-01-09,7.93
2020-01-10,7.6
2020-01-13,7.78
2020-01-14,7.67
2020-01-15,7.85
2020-01-16,7.76
2020-01-17,7.68
2020-01-20,7.68
2020-01-21,7.9
2020-01-22,8.0
2020-01-30,7.6
2020-01-31,7.07
2020-02-03,6.58
2020-02-04,6.12
2020-02-05,6.49
2020-02-06,6.51
2020-02-07,6.76
2020-02-10,6.48
2020-02-11,6.45
2020-02-12,6.45
2020-02-13,6.38
2020-02-14,6.47
2020-02-17,6.79
2020-02-18,6.92
2020-02-19,6.65
2020-02-20,6.71
2020-02-21,6.53
2020-02-24,6.08
2020-02-25,6.2
2020-02-26,6.2
2020-02-27,6.2
2020-02-28,5.81
2020-03-02,5.89
2020-03-03,6.23
2020-03-04,6.66
2020-03-05,6.45
2020-03-06,6.9
2020-03-09,6.42
2020-03-10,6.49
2020-03-11,6.19
2020-03-12,6.5
2020-03-13,6.39
2020-03-16,6.2
2020-03-17,6.2
2020-03-18,6.2
2020-03-19,6.15
2020-03-20,6.05
2020-03-23,5.63
2020-03-24,5.24
2020-03-25,5.53
2020-03-26,5.15
2020-03-27,4.79
2020-03-30,4.46
2020-03-31,4.15
2020-04-01,4.16
2020-04-03,4.45
2020-04-06,4.76
2020-04-07,4.43
2020-04-08,4.73
2020-04-09,4.93
2020-04-10,5.1
2020-04-13,5.1
2020-04-14,4.9
2020-04-15,5.0
2020-04-16,5.1
2020-04-17,5.38
2020-04-20,5.25
2020-04-21,4.89
2020-04-22,4.89
2020-04-23,4.9
2020-04-24,4.9
2020-04-27,4.89
2020-04-28,4.9
2020-04-29,4.85
2020-05-04,4.74
2020-05-05,4.7
2020-05-06,4.83
2020-05-07,4.89
2020-05-08,4.95
2020-05-11,5.2
2020-05-12,5.44
2020-05-13,5.6
2020-05-14,5.48
2020-05-15,5.23
2020-05-18,5.3
2020-05-19,5.31
2020-05-20,5.27
2020-05-21,5.4
2020-05-22,5.25
2020-05-25,5.35
2020-05-26,5.72
2020-05-27,5.77
2020-05-28,5.69
2020-05-29,5.84
2020-06-01,6.18
2020-06-02,5.95
2020-06-03,5.96
2020-06-04,5.97
2020-06-05,6.15
2020-06-08,6.45
2020-06-09,6.85
2020-06-10,7.06
2020-06-11,6.57
2020-06-12,6.7
2020-06-15,6.24
2020-06-16,6.37
2020-06-17,6.2
2020-06-18,6.63
2020-06-19,7.09
2020-06-22,7.27
2020-06-23,6.98
2020-06-24,6.91
2020-06-25,6.8
2020-06-26,6.68
2020-06-29,6.22
2020-06-30,6.0
2020-07-01,6.42
2020-07-02,6.4
2020-07-03,6.38
2020-07-06,6.47
2020-07-07,6.37
2020-07-08,6.36
2020-07-09,6.43
2020-07-10,6.67
2020-07-13,6.6
2020-07-14,6.58
2020-07-15,6.55
2020-07-16,6.51
2020-07-17,6.59
2020-07-20,6.13
2020-07-21,5.9
2020-07-22,6.31
2020-07-23,6.27
2020-07-24,5.85
2020-07-27,5.45
2020-07-28,5.69
2020-07-29,5.6
2020-07-30,5.47
2020-07-31,5.39
2020-08-03,5.59
2020-08-04,5.67
2020-08-05,5.89
2020-08-06,5.89
2020-08-07,5.92
2020-08-10,6.31
2020-08-11,6.34
2020-08-12,6.27
2020-08-13,6.29
2020-08-14,6.26
2020-08-17,6.15
2020-08-18,6.05
2020-08-19,6.1
2020-08-20,6.08
2020-08-21,6.12
2020-08-24,6.22
2020-08-25,6.37
2020-08-26,6.34
2020-08-27,6.27
2020-08-28,6.38
2020-08-31,6.35
2020-09-01,6.33
2020-09-03,6.3
2020-09-04,6.2
2020-09-07,6.16
2020-09-08,6.2
2020-09-09,6.2
2020-09-10,6.4
2020-09-11,6.59
2020-09-14,6.7
2020-09-15,6.7
2020-09-16,6.84
2020-09-17,6.96
2020-09-18,7.1
2020-09-21,7.09
2020-09-22,7.15
2020-09-23,7.1
2020-09-24,7.0
2020-09-25,6.88
2020-09-28,6.86
2020-09-29,6.61
2020-09-30,6.87
2020-10-01,7.1
2020-10-02,7.1
2020-10-05,7.4
2020-10-06,7.41
2020-10-07,7.33
2020-10-08,7.18
2020-10-09,7.26
2020-10-12,7.07
2020-10-13,7.1
2020-10-14,7.07
2020-10-15,6.93
2020-10-16,6.96
2020-10-19,7.14
2020-10-20,7.06
2020-10-21,6.74
2020-10-22,6.79
2020-10-23,6.6
2020-10-26,6.45
2020-10-27,6.25
2020-10-28,6.23
2020-10-29,6.32
2020-10-30,6.31
2020-11-02,6.35
2020-11-03,6.41
2020-11-04,6.6
2020-11-05,6.46
2020-11-06,6.25
2020-11-09,6.28
2020-11-10,6.29
2020-11-11,6.3
2020-11-12,6.45
2020-11-13,6.79
2020-11-16,6.6
2020-11-17,6.62
2020-11-18,6.57
2020-11-19,6.66
2020-11-20,6.95
2020-11-23,6.93
2020-11-24,6.79
2020-11-25,6.69
2020-11-26,6.7
2020-11-27,6.69
2020-11-30,6.56
2020-12-01,6.57
2020-12-02,6.66
2020-12-03,6.66
2020-12-04,6.82
2020-12-07,6.9
2020-12-08,6.8
2020-12-09,6.77
2020-12-10,6.79
2020-12-11,6.8
2020-12-14,6.92
2020-12-15,7.4
2020-12-16,7.41
2020-12-17,7.5
2020-12-18,7.77
2020-12-21,7.8
2020-12-22,8.02
2020-12-23,7.8
2020-12-24,7.52
2020-12-25,7.77
2020-12-28,7.7
2020-12-29,8.07
2020-12-30,8.01
2020-12-31,7.85
2021-01-04,7.78
2021-01-05,7.91
2021-01-06,7.88
2021-01-07,8.43
2021-01-08,8.4
2021-01-11,8.62
2021-01-12,8.7
2021-01-13,8.55
2021-01-14,8.55
2021-01-15,8.4
2021-01-18,8.45
2021-01-19,7.86
2021-01-20,7.68
2021-01-21,7.93
2021-01-22,7.83
2021-01-25,8.37
2021-01-26,8.59
2021-01-27,7.99
2021-01-28,7.44
2021-01-29,7.21
2021-02-01,6.71
2021-02-02,6.78
2021-02-03,7.07
