,price
2020-01-02,39.5
2020-01-03,42.0
2020-01-06,42.0
2020-01-07,42.0
2020-01-08,42.0
2020-01-09,39.9
2020-01-10,39.5
2020-01-13,39.5
2020-01-14,39.5
2020-01-15,39.5
2020-01-16,39.5
2020-01-17,39.5
2020-01-20,39.5
2020-01-21,39.5
2020-01-22,39.5
2020-01-30,39.5
2020-01-31,39.5
2020-02-03,39.5
2020-02-04,42.25
2020-02-05,42.25
2020-02-06,39.5
2020-02-07,42.25
2020-02-10,42.5
2020-02-11,40.0
2020-02-12,42.8
2020-02-13,42.8
2020-02-14,42.8
2020-02-17,39.85
2020-02-18,39.85
2020-02-19,37.5
2020-02-20,40.1
2020-02-21,40.0
2020-02-24,40.0
2020-02-25,42.8
2020-02-26,39.85
2020-02-27,42.5
2020-02-28,45.4
2020-03-02,45.2
2020-03-03,45.2
2020-03-04,45.8
2020-03-05,45.0
2020-03-06,45.0
2020-03-09,44.8
2020-03-10,45.0
2020-03-11,45.0
2020-03-12,44.5
2020-03-13,44.5
2020-03-16,44.5
2020-03-17,44.5
2020-03-18,44.5
2020-03-19,44.9
2020-03-20,44.9
2020-03-23,44.9
2020-03-24,44.0
2020-03-25,44.0
2020-03-26,44.0
2020-03-27,44.0
2020-03-30,41.5
2020-03-31,44.4
2020-04-01,44.0
2020-04-03,43.5
2020-04-06,44.0
2020-04-07,44.0
2020-04-08,44.4
2020-04-09,44.4
2020-04-10,44.4
2020-04-13,45.5
2020-04-14,45.5
2020-04-15,45.5
2020-04-16,45.5
2020-04-17,45.5
2020-04-20,45.5
2020-04-21,45.5
2020-04-22,42.35
2020-04-23,42.35
2020-04-24,42.0
2020-04-27,42.0
2020-04-28,42.0
2020-04-29,42.0
2020-05-04,42.0
2020-05-05,42.0
2020-05-06,42.0
2020-05-07,42.0
2020-05-08,41.5
2020-05-11,41.5
2020-05-12,41.5
2020-05-13,41.5
2020-05-14,41.5
2020-05-15,43.5
2020-05-18,43.5
2020-05-19,43.5
2020-05-20,40.5
2020-05-21,43.3
2020-05-22,43.3
2020-05-25,42.5
2020-05-26,45.0
