,price
2020-01-02,16.45
2020-01-03,16.15
2020-01-06,15.95
2020-01-07,15.85
2020-01-08,15.55
2020-01-09,15.6
2020-01-10,15.7
2020-01-13,15.85
2020-01-14,16.0
2020-01-15,16.1
2020-01-16,16.0
2020-01-17,15.9
2020-01-20,15.5
2020-01-21,15.45
2020-01-22,15.45
2020-01-30,15.1
2020-01-31,15.0
2020-02-03,14.0
2020-02-04,14.1
2020-02-05,14.35
2020-02-06,14.55
2020-02-07,14.45
2020-02-10,14.4
2020-02-11,14.4
2020-02-12,14.85
2020-02-13,14.9
2020-02-14,14.7
2020-02-17,14.7
2020-02-18,15.2
2020-02-19,15.3
2020-02-20,15.3
2020-02-21,15.0
2020-02-24,14.4
2020-02-25,14.45
2020-02-26,14.4
2020-02-27,14.5
2020-02-28,14.2
2020-03-02,14.25
2020-03-03,14.45
2020-03-04,14.35
2020-03-05,14.55
2020-03-06,14.55
2020-03-09,13.55
2020-03-10,13.7
2020-03-11,12.9
2020-03-12,12.1
2020-03-13,11.7
2020-03-16,11.8
2020-03-17,12.0
2020-03-18,12.2
2020-03-19,12.05
2020-03-20,12.3
2020-03-23,11.45
2020-03-24,11.6
2020-03-25,12.0
2020-03-26,11.95
2020-03-27,11.95
2020-03-30,11.6
2020-03-31,11.6
2020-04-01,11.8
2020-04-03,12.25
2020-04-06,12.6
2020-04-07,12.65
2020-04-08,12.65
2020-04-09,13.4
2020-04-10,13.3
2020-04-13,13.6
2020-04-14,13.3
2020-04-15,13.65
2020-04-16,14.0
2020-04-17,14.95
2020-04-20,14.85
2020-04-21,14.7
2020-04-22,15.4
2020-04-23,15.85
2020-04-24,15.9
2020-04-27,16.8
2020-04-28,17.1
2020-04-29,16.65
2020-05-04,16.3
2020-05-05,17.0
2020-05-06,17.1
2020-05-07,17.0
2020-05-08,16.9
2020-05-11,17.0
2020-05-12,17.3
2020-05-13,17.0
2020-05-14,17.1
2020-05-15,17.15
2020-05-18,17.45
2020-05-19,17.05
2020-05-20,17.1
2020-05-21,17.3
2020-05-22,17.3
2020-05-25,17.8
2020-05-26,18.2
2020-05-27,17.85
2020-05-28,17.8
2020-05-29,18.15
2020-06-01,18.7
2020-06-02,18.2
2020-06-03,18.4
2020-06-04,18.4
2020-06-05,18.5
2020-06-08,18.6
2020-06-09,18.6
2020-06-10,18.9
2020-06-11,18.9
2020-06-12,18.4
2020-06-15,18.0
2020-06-16,18.2
2020-06-17,18.25
2020-06-18,18.6
2020-06-19,18.7
2020-06-22,18.7
2020-06-23,17.8
2020-06-24,17.5
2020-06-25,17.9
2020-06-26,17.9
2020-06-29,17.65
2020-06-30,17.6
2020-07-01,17.6
2020-07-02,17.7
2020-07-03,17.65
2020-07-06,17.75
2020-07-07,17.75
2020-07-08,17.8
2020-07-09,17.8
2020-07-10,17.95
2020-07-13,17.95
2020-07-14,18.15
2020-07-15,18.0
2020-07-16,18.05
2020-07-17,18.35
2020-07-20,19.45
2020-07-21,19.7
2020-07-22,19.6
2020-07-23,20.3
2020-07-24,20.8
2020-07-27,20.8
2020-07-28,21.4
2020-07-29,21.0
2020-07-30,18.9
2020-07-31,18.35
2020-08-03,18.8
2020-08-04,19.6
2020-08-05,20.45
2020-08-06,21.0
2020-08-07,21.3
2020-08-10,22.75
2020-08-11,22.85
2020-08-12,22.7
2020-08-13,24.25
2020-08-14,25.9
2020-08-17,26.0
2020-08-18,25.5
2020-08-19,25.45
2020-08-20,24.35
2020-08-21,25.2
2020-08-24,25.0
2020-08-25,25.0
2020-08-26,26.75
2020-08-27,28.6
2020-08-28,28.6
2020-08-31,29.2
2020-09-01,29.3
2020-09-03,28.5
2020-09-04,29.0
2020-09-07,27.0
2020-09-08,27.2
2020-09-09,27.8
2020-09-10,28.0
2020-09-11,28.05
2020-09-14,28.25
2020-09-15,28.0
2020-09-16,27.7
2020-09-17,27.7
2020-09-18,27.6
2020-09-21,26.95
2020-09-22,26.45
2020-09-23,27.7
2020-09-24,27.85
2020-09-25,28.15
2020-09-28,28.0
2020-09-29,27.2
2020-09-30,27.6
2020-10-01,27.5
2020-10-02,27.1
2020-10-05,28.4
2020-10-06,28.85
2020-10-07,28.05
2020-10-08,27.25
2020-10-09,27.15
2020-10-12,27.45
2020-10-13,27.05
2020-10-14,26.75
2020-10-15,25.8
2020-10-16,26.35
2020-10-19,26.05
2020-10-20,26.0
2020-10-21,25.75
2020-10-22,25.85
2020-10-23,25.5
2020-10-26,25.45
2020-10-27,24.25
2020-10-28,23.1
2020-10-29,24.6
2020-10-30,24.85
2020-11-02,23.9
2020-11-03,24.15
2020-11-04,25.8
2020-11-05,25.0
2020-11-06,24.75
2020-11-09,24.85
2020-11-10,25.5
2020-11-11,25.9
2020-11-12,26.35
2020-11-13,26.65
2020-11-16,26.3
2020-11-17,26.3
2020-11-18,28.1
2020-11-19,28.0
2020-11-20,28.8
2020-11-23,28.5
2020-11-24,28.9
2020-11-25,30.9
2020-11-26,32.7
2020-11-27,32.3
2020-11-30,32.25
2020-12-01,34.5
2020-12-02,34.2
2020-12-03,34.0
2020-12-04,33.95
2020-12-07,32.5
2020-12-08,32.05
2020-12-09,32.7
2020-12-10,32.9
2020-12-11,32.6
2020-12-14,33.2
2020-12-15,34.45
2020-12-16,34.2
2020-12-17,33.6
2020-12-18,33.3
2020-12-21,34.2
2020-12-22,36.55
2020-12-23,35.45
2020-12-24,34.3
2020-12-25,34.9
2020-12-28,34.75
2020-12-29,34.0
2020-12-30,33.8
2020-12-31,34.3
2021-01-04,35.3
2021-01-05,35.2
2021-01-06,37.15
2021-01-07,37.6
2021-01-08,37.6
2021-01-11,37.7
2021-01-12,37.95
2021-01-13,37.75
2021-01-14,37.6
2021-01-15,39.0
2021-01-18,38.35
2021-01-19,36.0
2021-01-20,34.9
2021-01-21,35.5
2021-01-22,36.9
2021-01-25,36.35
2021-01-26,35.15
2021-01-27,33.0
2021-01-28,30.7
2021-01-29,31.5
2021-02-01,29.8
2021-02-02,30.6
2021-02-03,31.8
2021-02-04,32.9
2021-02-05,33.2
2021-02-09,32.2
2021-02-17,33.5
2021-02-18,33.55
2021-02-19,34.0
2021-02-22,34.0
2021-02-23,35.0
2021-02-24,34.2
2021-02-25,34.0
2021-02-26,33.7
2021-03-01,34.3
2021-03-02,35.6
2021-03-03,36.8
2021-03-04,35.6
2021-03-05,35.9
2021-03-08,35.85
2021-03-09,35.3
2021-03-10,35.7
2021-03-11,36.7
2021-03-12,36.7
2021-03-15,36.65
2021-03-16,35.85
2021-03-17,35.2
2021-03-18,35.4
2021-03-19,34.85
2021-03-22,34.3
2021-03-23,34.4
2021-03-24,33.45
2021-03-25,33.3
2021-03-26,33.35
2021-03-29,33.4
2021-03-30,33.2
2021-03-31,33.2
2021-04-01,33.3
2021-04-02,33.7
2021-04-05,33.8
2021-04-06,33.5
2021-04-07,33.6
2021-04-08,34.9
2021-04-09,34.5
2021-04-12,35.15
2021-04-13,34.1
2021-04-14,34.5
2021-04-15,34.0
2021-04-16,34.5
2021-04-19,34.4
2021-04-20,33.75
2021-04-22,34.0
2021-04-23,36.0
2021-04-26,36.9
2021-04-27,36.0
2021-04-28,34.95
2021-04-29,35.95
2021-05-04,37.35
2021-05-05,37.55
2021-05-06,36.2
2021-05-07,37.45
2021-05-10,38.55
2021-05-11,38.9
2021-05-12,39.4
2021-05-13,38.55
2021-05-14,38.65
2021-05-17,38.7
2021-05-18,39.5
2021-05-19,39.3
2021-05-20,39.3
2021-05-21,41.0
2021-05-24,40.6
2021-05-25,40.7
2021-05-26,41.2
2021-05-27,41.0
2021-05-28,41.1
2021-05-31,42.35
2021-06-01,41.6
2021-06-02,41.05
2021-06-03,40.5
2021-06-04,40.6
2021-06-07,39.9
2021-06-08,37.9
2021-06-09,38.2
2021-06-10,38.8
2021-06-11,38.65
2021-06-14,38.65
2021-06-15,41.0
2021-06-16,41.7
2021-06-17,41.65
2021-06-18,43.9
2021-06-21,43.5
2021-06-22,43.2
2021-06-23,42.2
2021-06-24,42.5
2021-06-25,42.15
2021-06-28,43.2
2021-06-29,45.5
2021-06-30,45.35
2021-07-01,45.2
2021-07-02,45.0
2021-07-05,44.3
2021-07-06,45.4
2021-07-07,46.0
2021-07-08,47.0
2021-07-09,45.0
2021-07-12,42.1
2021-07-13,45.0
2021-07-14,46.2
2021-07-15,46.75
2021-07-16,47.95
2021-07-19,47.0
2021-07-20,47.35
2021-07-21,49.2
2021-07-22,48.9
2021-07-23,48.4
2021-07-26,51.0
2021-07-27,49.85
2021-07-28,49.45
2021-07-29,49.9
2021-07-30,50.8
2021-08-02,51.2
2021-08-03,51.7
2021-08-04,51.3
2021-08-05,51.3
2021-08-06,52.0
2021-08-09,52.5
2021-08-10,52.6
2021-08-11,52.3
2021-08-12,52.6
2021-08-13,52.2
2021-08-16,53.4
2021-08-17,53.6
2021-08-18,53.4
2021-08-19,53.0
2021-08-20,50.3
2021-08-23,45.1
2021-08-24,44.1
2021-08-25,44.4
2021-08-26,46.1
2021-08-27,47.15
2021-08-30,50.0
2021-08-31,50.2
2021-09-01,50.5
2021-09-06,49.9
2021-09-07,48.1
2021-09-08,48.0
2021-09-09,49.95
2021-09-10,49.0
2021-09-13,48.3
2021-09-14,47.1
2021-09-15,47.4
2021-09-16,47.5
2021-09-17,49.2
2021-09-20,48.2
2021-09-21,47.8
2021-09-22,48.8
2021-09-23,50.8
2021-09-24,50.3
2021-09-27,48.0
2021-09-28,48.3
2021-09-29,48.45
2021-09-30,48.9
2021-10-01,49.15
2021-10-04,51.9
2021-10-05,52.3
2021-10-06,52.7
2021-10-07,54.0
2021-10-08,53.4
2021-10-11,53.0
2021-10-12,52.7
2021-10-13,55.0
2021-10-14,55.4
2021-10-15,56.2
2021-10-18,55.7
2021-10-19,54.9
2021-10-20,55.0
2021-10-21,55.4
2021-10-22,56.8
2021-10-25,55.5
2021-10-26,55.3
2021-10-27,56.0
2021-10-28,57.5
2021-10-29,57.3
2021-11-01,55.7
2021-11-02,56.3
2021-11-03,53.2
2021-11-04,53.0
2021-11-05,53.4
2021-11-08,53.9
2021-11-09,53.4
2021-11-10,52.1
2021-11-11,53.6
2021-11-12,52.9
2021-11-15,51.8
2021-11-16,50.8
2021-11-17,51.5
2021-11-18,51.2
2021-11-19,51.3
2021-11-22,48.0
2021-11-23,49.0
2021-11-24,49.0
2021-11-25,48.75
2021-11-26,48.75
2021-11-29,48.1
2021-11-30,49.8
2021-12-01,51.0
2021-12-02,51.3
2021-12-03,49.6
2021-12-06,47.55
2021-12-07,48.65
2021-12-08,49.3
2021-12-09,49.45
2021-12-10,50.6
2021-12-13,51.4
2021-12-14,51.5
2021-12-15,51.4
2021-12-16,50.6
2021-12-17,50.5
2021-12-20,49.25
2021-12-21,49.9
2021-12-22,48.9
2021-12-23,47.2
2021-12-24,48.2
2021-12-27,48.9
2021-12-28,50.0
2021-12-29,53.5
2021-12-30,53.8
2021-12-31,53.0
2022-01-04,54.1
2022-01-05,53.5
2022-01-06,53.2
2022-01-07,53.9
2022-01-10,55.2
2022-01-11,57.0
2022-01-12,56.2
2022-01-13,53.0
2022-01-14,53.2
2022-01-17,49.5
2022-01-18,46.7
2022-01-19,49.95
2022-01-20,52.2
2022-01-21,51.6
2022-01-24,48.0
2022-01-25,49.55
2022-01-26,49.5
2022-01-27,49.6
2022-01-28,49.8
2022-02-07,49.8
2022-02-08,50.9
2022-02-09,51.2
2022-02-10,52.0
2022-02-11,53.4
2022-02-14,53.3
2022-02-15,53.5
2022-02-16,53.2
2022-02-17,53.4
2022-02-18,53.4
2022-02-21,54.6
2022-02-22,54.3
2022-02-23,54.8
2022-02-24,53.7
2022-02-25,54.0
2022-02-28,53.0
2022-03-01,52.6
2022-03-02,51.9
2022-03-03,51.9
2022-03-04,53.0
2022-03-07,52.8
2022-03-08,50.6
2022-03-09,50.6
2022-03-10,51.3
2022-03-11,50.6
2022-03-14,48.8
2022-03-15,49.9
2022-03-16,50.3
2022-03-17,50.4
2022-03-18,50.7
2022-03-21,50.7
2022-03-22,51.2
2022-03-23,51.2
2022-03-24,50.7
2022-03-25,50.8
2022-03-28,53.5
2022-03-29,55.8
2022-03-30,55.0
2022-03-31,57.4
2022-04-01,57.4
2022-04-04,60.0
2022-04-05,59.4
2022-04-06,57.3
2022-04-07,58.5
2022-04-08,54.5
2022-04-12,54.0
2022-04-13,57.7
2022-04-14,58.9
2022-04-15,61.2
2022-04-18,61.2
2022-04-19,57.0
2022-04-20,53.1
2022-04-21,49.4
2022-04-22,45.95
2022-04-25,42.75
2022-04-26,42.0
2022-04-27,41.05
2022-04-28,43.9
2022-04-29,44.0
2022-05-04,41.25
2022-05-05,42.85
2022-05-06,39.9
2022-05-09,37.15
2022-05-10,39.0
2022-05-11,38.0
2022-05-12,35.35
2022-05-13,32.9
2022-05-16,30.6
2022-05-17,32.4
2022-05-18,32.5
2022-05-19,32.5
2022-05-20,32.95
2022-05-23,33.95
2022-05-24,34.0
2022-05-25,35.0
